!xóõ	k o
'k	ə k
andorra	ɑ n d ɔ ɹ a
andorrees	ɑ n d ɔ ɹ e s
andreas	ɑ n d ɹ e ɑ s
andreaskruis	ɑ n d ɹ e ɑ s k ɹ œː y s
andries	ɑ n d ɹ i s
androgyn	ɑ n d ɹ o ɣ i n
andromeda	ɑ n d ɹ o m e d a
androïde	ɑ n d ɹ o i d ə
andré	ɑ n d ɹ e
ane	a n ə
anechoïsch	a n ɛ x o i s
anekdote	a n ɛ ɡ ˈd o t ə
anekdotiek	a n ɛ k d o t i k
anemie	a n e m i
anemisch	a ˈn e m i s
anemometer	a n e m o m e t ə ɹ
anemoon	ɑ n ə m o n
anemoonvis	a n ə m o n v ɪ s
anerveen	a n ə ɹ v e n
anesthesie	ɑ n ɛ s t e z i
anesthesiologen	ɑ n ɛ s t e z i o l o ɣ ə
anesthesiologie	ɑ n ɛ s t e z i o l o ɣ i
anesthesioloog	ɑ n ɛ s t e z i o l o x
anesthetica	ɑ n ɛ s t e t i k a
anestheticum	ɑ n ɛ s t e t i k ʏ m
anevelde	a n ə v ɛ l d ə
angejiddeld	ˈɑ ŋ ɡ ə j ɪ d ə l t
angel	ɑ ŋ ə l
angellijn	ɑ ŋ ə l l ɛ ɪ n
angelsaksisch	ɑ ŋ ə l ˈs ɑ k s i s
angelsassisch	ɑ ŋ ə l s ɑ s i s
angelslo	ɑ ŋ ə l s l o
angeren	ɑ ŋ ə ɹ ə
angerenstein	ɑ ŋ ə ɹ ə n s t ɛ ɪ n
angerlo	ɑ ŋ ə ɹ l o
angika	ˈɑ ŋ i k a
angina	ɑ ŋ ɣ i n a
angioneuroticum	ˌɑ ŋ ɣ i o n ø ˈɹ o t i k ø m
angiopathie	ɑ ŋ ɣ i o p a t i
angisa	ɑ ˈŋ i s a
angisa's	ɑ ˈŋ i s a s
anglicaan	ɑ ŋ ɣ l i k a n
anglicaans	ɑ ŋ ɣ l i k a n s
anglicaanse	a n ɡ l i c a a n s x
anglicaanser	a n ɡ l i c a a n s x
anglicaansere	a n ɡ l i c a a n s x
anglicaanst	a n ɡ l i c a a n s x
anglicaanste	a n ɡ l i c a a n s x
anglicisme	ɑ ŋ l i s ɪ s m ə
anglistiek	ɑ ŋ ɣ l ɪ s t i k
angola	ɑ ŋ ˈɡ o l a
angolar	a n ɡ o ˈl aː ɹ
angst	ɑ ŋ s t
angstaanjagend	ɑ ŋ s t a n j a ɣ ə n t
angstaanjagende	ɑ ŋ s t a n j a ɣ ə n d ə
angstcultuur	ɑ ŋ s t k ʏ l t y ɹ
angstdroom	ɑ ŋ s t d ɹ o m
angstgegner	ɑ ŋ s t ɡ e ɡ n ə ɹ
angstgevoel	ɑ ŋ s t ɣ ə v u l
angsthaas	ɑ ŋ s t h a s
angstig	ɑ ŋ s t ə x
angstpsychose	ɑ ŋ s t p s i x o z ə
angstschreeuw	ɑ ŋ s t s x ɹ e w
angstwekkend	ɑ ŋ s t w ɛ k ə n t
angstzweet	ɑ ŋ s t z w e t
angterp	ɑ ŋ t ɛ ɹ p
angwier	ɑ ŋ w i ɹ
anhedonie	ˌɑ n h e d o ˈn i
anholt	ɑ n h ɔ l t
anieëm	a ˈn i j ə m
anijs	a n ɛ ɪ s
anima	ˈa n i m a
anima's	ˈa n i m a s
animatie	a n i m a s i
animatiefilm	a n i m a s i f ɪ l m
animatieserie	a n i m a s i s e ɹ i
animatiestudio	a n i m a s i s t y d i o
anime	a ˈn i m e
anime's	a ˈn i m e s
animistisch	a n i ˈm ɪ s t i s
animistische	a n i ˈm ɪ s t i s ə
animistischer	a n i ˈm ɪ s t i s ə ɹ
animistischere	a n i ˈm ɪ s t i s ə ɹ ə
animistischers	a n i ˈm ɪ s t i s ə ɹ s
animo	a n i m o
animositeit	a n i m o z i ˈt ɛi t
animus	ˈa n i m ʏ s
animussen	ˈa n i m ʏ s ə n
aninoet	a n i ˈn u t
anioet	a n i ˈj u t
anionisch	ˌɑ n i ˈo n i s
anisakiasis	ɑ n i s ɑ k i j a s ɪ s
anjelier	ɑ n j ə l i ɹ
anjer	ɑ n j ə ɹ
anjerrevolutie	ˈɑ n ə ɹ ɹ e v o ˌl y t s i
anjum	ɑ n j ʏ m
ank	ɑ ŋ k
ankara	a n k a ɹ a
ankeilen	ɑ n k ɑ ɪ l ə
anken	ˈɑ ŋ k ə n
anker	ɑ ŋ k ə ɹ
ankerboei	ɑ ŋ k ə ɹ b u ɪ
ankeren	ˈɑ ŋ k ə ɹ ə n
ankermast	ɑ ŋ k ə ɹ m ɑ s t
ankeroog	ɑ ŋ k ə ɹ o x
ankerplaats	ɑ ŋ k ə ɹ p l a t s
ankers	ɑ ŋ k ə ɹ s
anklaar	ɑ ŋ k l a ɹ
ankum	ɑ n k ʏ m
anloo	ɑ n l o
anna	ɑ n a
annaal	ɑ n a l
annabuurt	ɑ n a b y ɹ t
anne	ɑ n ə
anneburen	ɑ n ə b y ɹ ə
anneke	ɑ n ə k ə
annelies	ɑ n ə l i s
annemieke	ɑ n ə m i k ə
annen	ɑ n ə
annerveenschekanaal	ɑ n ə ɹ v e n s ə k a n a l
annexatie	ˌɑ n ɛ k ˈs a t s i
annexeer	ˌɑ n ɛ k ˈs ɪ ɹ
annexeerde	ˌɑ n ɛ k ˈs ɪ ɹ d ə
annexeerden	ˌɑ n ɛ k ˈs ɪ ɹ d ə n
annexeert	ˌɑ n ɛ k ˈs ɪ ɹ t
annexere	ˌɑ n ɛ k ˈs ɪ ɹ ə
annexeren	ˌɑ n ɛ k ˈs ɪ ɹ ə n
annexerend	ˌɑ n ɛ k ˈs ɪ ɹ ə n t
annexering	ɑ n ɛ k s e ɹ ɪ ŋ
anno	ɑ n o
annoteren	ɑ n o t e ɹ ə
annuleren	ɑ n y ˈl e ɹ ə
annulering	ɑ n y l e ɹ ɪ ŋ
anoa	ɑ n o ɑ
anode	a n o d ə
anogenitaal	ˌa n o ˌɡ e n i ˈt a l
anomalie	a n o m a l i
anomie	a n o m i
anoniem	a n o n i m
anonimiseren	a n o n i m i ˈz e ɹ ə n
anonimiteit	a n o n i m i t ɛ ɪ t
anorak	ˈa n o ɹ ɑ k
anorakje	ˈa n o ɹ ɑ k j ə
anorakjes	ˈa n o ɹ ɑ k j ə s
anorakken	ˈa n o ɹ ɑ k ə n
anoraks	ˈa n o ɹ ɑ k s
anorganisch	ɑ n ɔ ɹ ɣ a n i s
anosmie	a n ɔ s ˈm i
anouk	a n u k
anoxie	ɑ n ɔ k s i
anreep	ɑ n ɹ e p
ans	ɑ n s
ansen	ɑ n s ə
ansichtkaart	ɑ n z ɪ x t k a ɹ t
ansjovis	ɑ n ʃ o v ɪ s
antakarinja	ˌɑ n t a k i ˈɹ i n a
antarctica	ɑ n t ɑ ɹ k t i k a
antarctisch	ɑ n t ˈɑ ɹ k t i s
ante	ˈɑ n t ə
antecedent	ɑ n t ə s ə d ɛ n t
antecedenten	ɑ n t e s e d ɛ n t ə
antecedentje	ɑ n t ə s ə d ɛ n t j ə
antecedentjes	ɑ n t ə s ə d ɛ n t j ə s
antedateren	ɑ n t ə d a t e ɹ ə
antenne	ɑ n t ɛ n ə
antenne-inrichting	ɑ n ˈt ɛ n ə ˌʔ ɪ n ɹ ɪ x t ɪ ŋ
antenne-inrichtingen	ɑ n ˈt ɛ n ə ˌʔ ɪ n ɹ ɪ x t ɪ ŋ ə n
antependium	ɑ n t ə p ɛ n d i ʏ m
anthologie	ɑ n t o l o ɣ i
anti	ɑ n t i
antiaanbaklaag	ɑ n t i a n b ɑ k l a x
antiacidum	ˌɑ n t i ˈʔ a s i d ø m
antiallergeen	ɑ n t i ɑ l ɛ ɹ ɣ e n
antiaritmica	ˌɑ n t i j a ˈɹ ɪ t m i k a
antiaritmicum	ˌɑ n t i j a ˈɹ ɪ t m i k ʏ m
antiasovliegtuig	ˌɑ n t i ˈa s o ˌv l i x t œː y x
antiasovliegtuigen	ˌɑ n t i ˈa s o ˌv l i x t œː y ɣ ə n
antiasovliegtuigje	ˌɑ n t i ˈa s o ˌv l i x t œː y x j ə
antiasovliegtuigjes	ˌɑ n t i ˈa s o ˌv l i x t œː y x j ə s
antibioticum	ɑ n t i b i o t i k ʏ m
antichrist	ɑ n t i k ɹ ɪ s t
anticipatie	ɑ n t i s i p a s i
anticiperen	ɑ n t i s i p e ɹ ə
anticonceptie	ɑ n t i k ɔ n s ɛ p s i
anticonceptiemiddel	ɑ n t i k ɔ n s ɛ p s i m ɪ d ə l
anticonceptiepil	ɑ n t i k ɔ n s ɛ p s i p ɪ l
anticonceptioneel	ɑ n t i k ɔ n s ɛ p ʃ o n e l
antideeltje	ɑ n t i d e l t j ə
antidepressiva	ɑ n t i d ə p ɹ ɛ s i v ɑ
antidepressivum	ˌɑ n t i d e p ɹ ɛ ˈs i v ʏ m
antidotum	ɑ n t i d o t ʏ m
antiek	ɑ n ˈt i k
antieke	ɑ n t i k ə
antieken	ɑ n ˈt i k ə n
antiekmarkt	ɑ n t i k m ɑ ɹ k t
antifa	ɑ n t i f a
antifascisme	ɑ n t i f ɑ s ɪ s m ə
antiferromagnetisch	ɑ n t i f ɛ ɹ o m ɑ x n e t i s
antiferromagnetisme	ɑ n t i f ɛ ɹ o m ɑ x n e t ɪ s m ə
antifibrinolyticum	ɑ n t i f i b ɹ i n o l i t i k ʏ m
antiheld	ɑ n t i h ɛ l t
antiheldin	ɑ n t i h ɛ l d ɪ n
antiklerikaal	ˈɑ n t i ˌk l e ɹ i ˌk a l
antikoloniaal	ɑ n t i k o l o n i a l
antikraak	ɑ n t i k ɹ a k
antilichaam	ɑ n t i l ɪ x a m
antillen	ɑ n t ɪ l ə
antilliaan	ɑ n t ɪ l i a n
antilliaans	ɑ n t ɪ l i a n s
antilope	ɑ n t i ˈl o p ə
antilopeachtig	ɑ n t i l o p ə ɑ x t ə x
antimaterie	ɑ n t i m a t e ɹ i
antimonium	ɑ n t i m o n i ʏ m
antimoon	ɑ n t i m o n
antinomiaans	ɑ n t i n o m i a n s
antinomianisme	ɑ n t i n o m i a n ɪ s m ə
antinomisch	ɑ n t i n o m i s
antinomisme	ɑ n t i n o m ɪ s m ə
antipsychotica	ɑ n t i p s i x o t i k a
antipsychoticum	ɑ n t i p s i x o t i k ʏ m
antiquaar	ɑ n t i k w a ɹ
antiquaars	ɑ n t i k w a ɹ s
antiquair	ɑ n t i k ɛː ɹ
antiquairs	ɑ n t i k ɛː ɹ s
antiquaren	ɑ n t i k w a ɹ ə
antiquariaat	ˌɑ n t i ˌk w a ɹ i ˈj a t
antiquariaten	ɑ n t i k w a ɹ i a t ə
antiquiteit	ɑ n t i k w i t ɛ ɪ t
antireclame	ɑ n t i ɹ ə k l a m ə
antirookmagiër	ɑ n t i ɹ o k m a ɣ i ə ɹ
antisemiet	ɑ n t i s e m i t
antisemitisch	ˌɑ n t i s ə ˈm i t i s
antisemitisme	ɑ n t i s e m i t ɪ s m ə
antisepsis	ɑ n t i s ɛ p s ɪ s
antisepticum	ɑ n t i s ɛ p t i k ʏ m
antiseptisch	ɑ n t i s ɛ p t i s
antislipcursus	ˌɑ n t i ˈs l ɪ p ˌk ʏ ɹ s ʏ s
antistof	ɑ n t i s t ɔ f
antiterreureenheid	ˌɑ n t i t ɛ ˈɹ ø ɹ e n h ɛi t
antithese	ɑ n t i t e z ə
antithetisch	ɑ n t i t e t i s
antiviraal	ˌɑ n t i v i ˈɹ a l
antivirus	ˈɑ n t i ˌv i ɹ ʏ s
antiwijnsteenzuur	ɑ n t i w ɛ ɪ n s t e n z y ɹ
antiziganisme	ɑ n t i z i ɣ a n ɪ s m ə
antoniem	ɑ n t o ˈn ˈi ˈm
antoon	ɑ n t o n
antraciet	ɑ n t ɹ a ˈs i t
antrax	ɑ n t ɹ ɑ k s
antraxbrief	ɑ n t ɹ ɑ k s b ɹ i f
antraxvrij	ɑ n t ɹ ɑ k s v ɹ ɛ ɪ
antriol	ɑ n t ɹ i ɔ l
antropologie	ɑ n t ɹ o p o l o ɣ i
antropologisch	ɑ n t ɹ o p o l o ɣ i s
antropoloog	ɑ n t ɹ o p o l o x
antropomorf	ɑ n t ɹ o p o m ɔ ɹ f
antropomorfisch	ɑ n t ɹ o p o m ɔ ɹ f i s
antum	ɑ n t ʏ m
antwerpen	ˈa n t ˌw ɛ ɹ p ə n
antwerpenaar	ɑ n t w ɛ ɹ p ə n a ɹ
antwerps	ˈa n t w ɛ ɹ p s
antwerpse	ˈa n t w ɛ ɹ p s ə
antwoord	ˈɑ n t w ɔː ɹ t
antwoordapparaat	ɑ n t w o ɹ t ɑ p a ɹ a t
antwoorden	ˈɑ n t w ɔː ɹ d ə n
antwoordnota	ɑ n t w o ɹ t n o t a
antwoordnummer	ɑ n t w o ɹ t n ʏ m ə ɹ
anus	a n ʏ s
anusridder	a n ʏ s ɹ ɪ d ə ɹ
ao	ˈa o
aoristisch	a o ɹ ɪ s t i s
aoristus	a o ɹ ɪ s t ʏ s
aorta	a ˈɔ ɹ t a
aow	a o w e
apache	a ˈp ɑ t t ʃ ə
apanage	a p ɑ ˈn a ʒ ə
apanages	a p ɑ ˈn a ʒ ə s
apart	a p ɑ ɹ t
apartheid	a p ɑ ɹ t h ɛ ɪ t
apathie	a p a t i
apathisch	a p a t i s
apathischer	a p a t i s ə ɹ
apatride	a p a t ɹ i d ə
apegapen	ˈa p ə ˌɣ a p ə n
apeldoorn	a p ə l d o ɹ n
apen	ˈa p ə n
apenaids	ˈa p ə n ˌe t s
apenarend	ˈa p ə n ˌa ɹ ə n t
apenarenden	ˈa p ə n ˌa ɹ ə n d ə n
apenbakhuis	a p ə b ɑ k h œː y s
apenbakkes	a p ə b ɑ k ə s
apenboom	a p ə b o m
apenbroodboom	a p ə b ɹ o t b o m
apengeil	ˈa p ə ŋ ɣ ɛi l
apenhuis	ˈa p ə n ˌh œː y s
apenhuizen	ˈa p ə n ˌh œː y z ə n
apenkooi	a p ə k o ɪ
apenkooien	a p ə k o ɪ ə
apenkop	a p ə k ɔ p
apenliefde	ˈa p ə n ˌl i v d ə
apenliefdes	ˈa p ə n ˌl i v d ə s
apennijnen	a p ə n ɛ ɪ n ə
apennoot	a p ə n o t
apenpak	a p ə n p ɑ k
apenrots	ˈa p ə n ɹ ɔ t s
apenstaart	a p ə n s t a ɹ t
apenstaartje	ˈa p ə ˌs t a ɹ t ʃ ə
apenstreek	a p ə n s t ɹ e k
aperij	a p ə ɹ ɛ ɪ
aperitief	a p ə ɹ ə t i f
aperloo	a p ə ɹ l o
apertuur	a p ɛ ɹ t y ɹ
aperçu	a p ɛ ɹ ˈs y
aperçu's	a p ɛ ɹ ˈs y s
aperçuutje	a p ɛ ɹ ˈs y c ə
aperçuutjes	a p ɛ ɹ ˈs y c ə s
apetrots	a p ə t ɹ ɔ t s
aphelium	ɑ p h e l i ʏ m
apicomplexa	ˌa p i k ɔ m ˈp l ɛ k s a
apin	a p ɪ n
apk	a p e k a
apneu	ɑ p ˈn ø
apocalyps	a p o k a l ɪ p s
apocalyptiek	a p o k a l ɪ p t i k
apocalyptisch	a p o k a l ɪ p t i s
apocope	a p o k o p
apocrief	a p o ˈk ɹ i f
apodictisch	a p o ˈd ɪ k t i s
apofatisch	a p o f a t i s
apokoinou	a p o ˈk ɔ j n u
apokoinous	a p o ˈk ɔ j n u s
apologeet	a p o l o ɣ e t
apologetiek	a p o l o ɣ e t i k
apologetisch	a p o l o ɣ e t i s
apologie	a p o l o ɣ i
apoplexie	a p o p l ɛ k s i
apoptose	ɡ e p ɹ o ɡ ɹ a m m e e ɹ d e c e l d o o d
apostel	ɑ ˈp ɔ s t ə l
apostelbrood	a p ɔ s t ə l b ɹ o t
apostille	a p ɔ s ˈt i j ə
apostilleren	a p ɔ s t i l e ɹ ə
apostolaat	a p ɔ s t o l a t
apostolisch	a p ɔ s t o l i s
apostrof	ˌa p ɔ s ˈt ɹ ɔ f
apotheek	a p o ˈt e k
apotheker	ɑ p o t e k ə ɹ
apothekeres	ɑ p o t e k ə ɹ ɛ s
apothekerspond	a p o t e k ə ɹ s p ɔ n t
apotheose	a p o t e o z ə
app	ɛ p
apparaat	ɑ p a ɹ a t
apparatuur	ɑ p a ɹ a t y ɹ
appartement	ɑ p ɑ ɹ t ə m ɛ n t
appartementencomplex	ɑ p ɑ ɹ t ə m ɛ n t ə k ɔ m p l ɛ k s
appartementsgebouw	ɑ p ɑ ɹ t ə m ɛ n t s ɣ ə b ɑ w
appel	ˈɑ p ə l
appelaar	ɑ p ə l a ɹ
appelbeignet	ɑ p ə l b ɛ n j e
appelbeignets	ɑ p ə l b ɛ n j e s
appelblauwzeegroen	ɑ p ə l b l ɑ w z e ɣ ɹ u n
appelbloesem	ɑ p ə l b l u s ə m
appelbol	ˈɑ p ə l ˌb ɔ l
appelbollen	ˈɑ p ɔ l ˌb ɔ l ə n
appelbolletje	ˈɑ p ə l ˌb ɔ l ə t j ə
appelbolletjes	ˈɑ p ə l ˌb ɔ l ə t j ə s
appelboom	ɑ p ə l b o m
appelboomgaard	ɑ p ə l b o m ɣ a ɹ t
appelboor	ɑ p ə l b o ɹ
appelcider	ɑ p ə l s i d ə ɹ
appelflap	ˈɑ p ə l f l ɑ p
appelgroen	ɑ p ə l ɣ ɹ u n
appelhof	ɑ p ə l h ɔ f
appelig	ɑ p ə l ə x
appelkoos	ɑ p ə l k o s
appelman	ɑ p ə l m ɑ n
appelmans	ɑ p ə l m ɑ n s
appelmoes	ɑ p ə l m u s
appelpunt	ɑ p ə l p ʏ n t
appelsap	ˈɑ p ə l ˌs ɑ p
appelsappen	ɑ p ə l s ɑ p ə
appelscha	ˈɑ p ə l ˌs x a
appelschel	ɑ p ə l s x ɛ l
appelschil	ɑ p ə l s x ɪ l
appelsien	ˌɑ p ə l ˈs i n
appelsienenboom	ɑ p ə l s i n ə b o m
appelsiensap	ɑ p ə l s i n s ɑ p
appelspijs	ɑ p ə l s p ɛ ɪ s
appelstroop	ɑ p ə l s t ɹ o p
appeltaart	ɑ p ə l t a ɹ t
appeltaartpunt	ɑ p ə l t a ɹ t p ʏ n t
appelteef	ɑ p ə l t e f
appeltern	ɑ p ə l t ɛ ɹ n
appeltuin	ɑ p ə l t œː y n
appelvink	ɑ p ə l v ɪ ŋ k
appelwijf	ɑ p ə l w ɛ ɪ f
appelwijn	ɑ p ə l w ɛ ɪ n
appelzalf	ɑ p ə l z ɑ l f
appelzuur	ɑ p ə l z y ɹ
appen	ˈɛ p ə n
appendix	ɑ ˈp ɛ n d ɪ k s
appetijt	ɑ p ə t ɛ ɪ t
appetijtelijk	ɑ p ə ˈt ɛi t ə l ə k
appgroep	ɛ p ɣ ɹ u p
appikorsem	ɑ p i ˈk ɔ ɹ s ə m
appikoures	ɑ p i ˈk ɑu ɹ ə s
appingedam	ɑ p ɪ ŋ ə d ɑ m
applauderen	ɑ p l ɑ w d e ɹ ə
applaudissement	ɑ p l ɑ w d i s ə m ɛ n t
applaudisseren	ɑ p l ɔ u d i ˈs e ɹ ə
applaus	ɑ ˈp l ɔ u s
applicatie	ɑ p l i k a s i
applique	ɑ ˈp l i k
appliques	ɑ ˈp l i k s
appliqué	ɑ p l i ˈk e
apporteren	ɑ p ɔ ɹ t e ɹ ə
appositie	ɑ p o z i s i
appreciëren	ɑ p ɹ e s i e ɹ ə
approximatie	ɑ p ɹ ɔ k s i m a s i
appèl	ɑ p ɛ l
apr	ɑ ˈp ɹ ɪ l
apr.	ɑ ˈp ɹ ɪ l
april	ɑ ˈp ɹ ɪ l
aprils	ɑ ˈp ɹ ɪ l s
aprilse	ɑ ˈp ɹ ɪ l s ə
aprilser	ɑ ˈp ɹ ɪ l s ə ɹ
aprilsere	ɑ ˈp ɹ ɪ l s ə ɹ ə
aprilsers	ɑ ˈp ɹ ɪ l s ə ɹ s
aprilst	ɑ ˈp ɹ ɪ l s t
aprilste	ɑ ˈp ɹ ɪ l s t ə
aprilvis	a ˈp ɹ ɪ l v ɪ s
apsis	ɑ p s ɪ s
apsjaar	ɑ p s j a ɹ
aquaduct	a k w a d ʏ k t
aquaplaning	ˈa k w a ˌp l e n ɪ ŋ
aquarist	ˌa k w a ˈɹ ɪ s t
aquaristiek	a k w a ɹ ɪ s t i k
aquaristisch	a k w a ɹ ɪ s t i s
aquarium	ɑ ˈk w a ɹ i ˌj ʏ m
aquatisch	a k w a t i s
ar	ɑ ɹ
ara	a ɹ a
arabica	a ˈɹ a b i k a
arabier	ˌɑ ɹ a ˈb iː ɹ
arabisch	ɑ ˈɹ a b i s
arabischtalig	a ˌɹ a b i s ˈt a l ə x
arabischtalige	a ˌɹ a b i s ˈt a l ə ɣ ə
arabischtaligs	a ˌɹ a b i s ˈt a l ə x s
arabië	a ɹ a b i ə
arachnofauna	a ɹ ɑ x n o f ɑ w n a
arachnofobie	a ˈɹ ɑ x n o f o ˌb i
aragonees	a ɹ a ɣ o n e s
arajot	a ɹ a ˈj ɔ t
aramees	a ɹ a ˈm e s
arameeër	a ɹ a ˈm e j ə ɹ
arameeërs	a ɹ a ˈm e j ə ɹ s
aramese	a ɹ a ˈm e s ə
aranees	a ɹ a n e s
araona	a ɹ a ˈo n a
arapaho	a ˈɹ a p a h o
aratsot	a ɹ a ˈt s ɔ t
arava	a ɹ a ˈv a
araviem	a ɹ a ˈv i m
aravot	a ɹ a ˈv ɔ t
arbeid	ɑ ɹ b ɛ ɪ t
arbeiden	ɑ ɹ b ɛ ɪ d ə
arbeider	ˈɑ ɹ b ɛi d ə ɹ
arbeidersgezin	ɑ ɹ b ɛ ɪ d ə ɹ s x ə z ɪ n
arbeidersklasse	ɑ ɹ b ɛ ɪ d ə ɹ s k l ɑ s ə
arbeiderspartij	ˈɑ ɹ b ɛi d ə ɹ s p ɑ ɹ ˌt ɛi
arbeiderspartijen	ˈɑ ɹ b ɛi d ə ɹ s p ɑ ɹ ˌt ɛi j ə n
arbeidsdag	ɑ ɹ b ɛ ɪ t s d ɑ x
arbeidsdeskundig	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə x
arbeidsdeskundige	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə ɣ ə
arbeidsdeskundiger	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə ɣ ə ɹ
arbeidsdeskundigere	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə ɣ ə ɹ ə
arbeidsdeskundigers	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə ɣ ə ɹ s
arbeidsdeskundigs	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə x s
arbeidsdeskundigst	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə x s t
arbeidsdeskundigste	ˈɑ ɹ b ɛi t s d ɛ s ˌk ʏ n d ə x s t ə
arbeidsemigrant	ɑ ɹ b ɛ ɪ t s e m i ɣ ɹ ɑ n t
arbeidsethos	ɑ ɹ b ɛ ɪ t s e t ɔ s
arbeidsgehandicapt	ˌɑ ɹ b ɛi t s x ə ˈh ɛ n d i k ɛ p t
arbeidsgehandicapte	ˌɑ ɹ b ɛi t s x ə ˈh ɛ n d i k ɛ p t ə
arbeidsgehandicapten	ˌɑ ɹ b ɛi t s x ə ˈh ɛ n d i k ɛ p t ə n
arbeidsgehandicapts	ˌɑ ɹ b ɛi t s x ə ˈh ɛ n d i k ɛ p t s
arbeidsimmigrant	ɑ ɹ b ɛ ɪ t s ɪ m i ɣ ɹ ɑ n t
arbeidsintensief	ɑ ɹ b ɛ ɪ t s ɪ n t ɛ n z i f
arbeidskost	ˈɑ ɹ b ɛi t s ˌk ɔ s t
arbeidskosten	ˈɑ ɹ b ɛi t s ˌk ɔ s t ə n
arbeidskracht	ɑ ɹ b ɛ ɪ t s k ɹ ɑ x t
arbeidsloon	ɑ ɹ b ɛ ɪ t s l o n
arbeidsloos	ɑ ɹ b ɛ ɪ t s l o s
arbeidsloze	ɑ ɹ b ɛ ɪ t s l o z ə
arbeidsman	ɑ ɹ b ɛ ɪ t s m ɑ n
arbeidsmarkt	ɑ ɹ b ɛ ɪ t s m ɑ ɹ k t
arbeidsmigrant	ɑ ɹ b ɛ ɪ t s m i ɣ ɹ ɑ n t
arbeidsmigratie	ɑ ɹ b ɛ ɪ t s m i ɣ ɹ a s i
arbeidsomstandigheden	ˈɑ ɹ b ɛi t s ɔ m ˌs t ɑ n d ə x h ɛ d ə n
arbeidsongeschikte	ɑ ɹ b ɛ ɪ t s ɔ n ɣ ə s x ɪ k t ə
arbeidsongeschiktheidsuitkering	ɑ ɹ b ɛ ɪ t s ɔ n ɣ ə s x ɪ k t h ɛ ɪ t s œː y t k e ɹ ɪ ŋ
arbeidsongeschiktheidsverzekeringsmaatschappij	ˌɑ ɹ b ɛi t s ɔ ŋ ɣ ə ˈs x ɪ k t h ɛi t s f ə ɹ ˌz e k ə ɹ ɪ ŋ s m a t s x ɑ ˌp ɛi
arbeidsongeschiktheidsverzekeringsmaatschappijen	ˌɑ ɹ b ɛi t s ɔ ŋ ɣ ə ˈs x ɪ k t h ɛi t s f ə ɹ ˌz e k ə ɹ ɪ ŋ s m a t s x ɑ ˌp ɛi j ə n
arbeidsovereenkomst	ɑ ɹ b ɛ ɪ t s o v ə ɹ e n k ɔ m s t
arbeidsparticipatie	ɑ ɹ b ɛ ɪ t s p ɑ ɹ t i s i p a s i
arbeidsplaats	ɑ ɹ b ɛ ɪ t s p l a t s
arbeidspool	ɑ ɹ b ɛ ɪ t s p u l
arbeidster	ɑ ɹ b ɛ ɪ t s t ə ɹ
arbeidstijd	ɑ ɹ b ɛ ɪ t s t ɛ ɪ t
arbeidsvreugde	ɑ ɹ b ɛ ɪ t s v ɹ ø ɣ d ə
arbeidt	ɑ ɹ b ɛ ɪ t
arbeidzaam	ɑ ɹ b ɛ ɪ t s a m
arbitrage	ɑ ɹ b i t ɹ a ʒ ə
arbitrair	ɑ ɹ b i t ɹ ɛː ɹ
arcade	ɑ ɹ k a d ə
arcadehal	ɑ ɹ k a d ə h ɑ l
arcen	ɑ ɹ s ə
arceren	ɑ ɹ s e ɹ ə
arcering	ɑ ɹ s e ɹ ɪ ŋ
archaea	ɑ ɹ ˈx e ɑ
archaeozoïcum	ɑ ɹ x e j o ˈz o w i k ʏ m
archaïcum	ɑ ɹ ˈx a i k ʏ m
archaïsch	ɑ ɹ x a i s
archaïsme	ɑ ɹ x a ɪ s m ə
archem	ɑ ɹ x ə m
archeologe	ɑ ɹ x e o l o ɣ ə
archeologie	ˌɑ ɹ ɣ e ˌj o l o ˈɣ i
archeologisch	ɑ ɹ x e o l o ɣ i s
archeoloog	ɑ ɹ x e o l o x
archeozoïcum	ɑ ɹ x e j o ˈz o w i k ʏ m
archeïcum	ɑ ɹ ˈx e j i k ʏ m
archief	ɑ ɹ x i f
archiefmateriaal	ɑ ɹ x i f m a t e ɹ i a l
archiefstuk	ɑ ɹ x i f s t ʏ k
archipel	ɑ ɹ x i p ɛ l
architect	ɑ ɹ x i t ɛ k t
architectuur	ɑ ɹ x i t ɛ k t y ɹ
architomie	ˌɑ ɹ x i t o ˈm i
architomieën	ˌɑ ɹ x i t o ˈm i j ə n
archivaris	ɑ ɹ x i v a ɹ ɪ s
archivarius	ɑ ɹ x i v a ɹ i ʏ s
archiveren	ɑ ɹ x i v e ɹ ə
archivist	ɑ ɹ x i v ɪ s t
archont	ɑ ɹ x ɔ n t
arctisch	ɑ ɹ k t i s
ardennen	ɑ ɹ d ɛ n ə
arduin	ɑ ɹ d œː y n
arduinsteen	ɑ ɹ d œː y n s t e n
are	a ɹ ə
area	ˈa ɹ e j a
arecanoot	a ɹ e k a n o t
areel	a ˈɹ e l
areilem	a ˈɹ ɛi l ə m
areka	a ˈɹ e k a
