andersson	â n d ɛ ɕ ɔ n
andetag	²'a n d ɛ t ɑː ɡ
andfådd	²'a n d f ɔ d
andhämtning	²'a n d h ɛ m t n ɪ ŋ
andlig	²'a n d l ɪ ɡ
andlös	²'a n d l øː s
andning	²'a n d n ɪ ŋ
andningsorgan	²'a n d n ɪ ŋ s ɔ r ɡ ɑː n
andnöd	²'a n d n øː d
andorra	a n d ɔ r a
andra	²'a n d r a
andrahandsaffär	²'a n d r a h a n d s a f ɛː r
andrahandslägenhet	²'a n d r a h a n d s l ɛː ɡ ɛ n h eː t
andrahandsvärde	²'a n d r a h a n d s v ɛː d ɛ
andrar	²'a n d r ɑː r
androgyn	a n d r ɔ j 'yː n
andrum	²'a n d r ɵ m
andré	a n d r 'eː
anekdot	a n ɛ k d 'oː t
anemi	a n ɛ m 'iː
anestesi	a n ɛ s t ɛ s 'iː
anfader	²'a n f ɑː d ɛ r
anfall	²'a n f a l
anfalla	²'a n f a l ɛ r
anfang	a n f 'a ŋ
anfordran	²'a n f uː d r a n
anfrätt	²'a n f r ɛ t
anfäkta	²'a n f ɛ k t a
anfäktar	²'a n f ɛ k t a r
anföll	²'a n f œ l
anföra	²'a n f øː r
anförande	²'a n f øː r a n d ɛ
anföring	²'a n f øː r ɪ ŋ
anförtro	²'a n f œ t r uː r
anförvant	²'a n f œ r v a n t
ang	²'a n ɡ oː ɛ n d ɛ
angav	²'a n ɡ ɑː v
ange	²'a n j eː r
angelstad	a ŋ ɛ l s t a
angelägen	²'a n j ɛ l ɛː ɡ ɛ n
angelägenhet	²'a n j ɛ l ɛː ɡ ɛ n h eː t
angenäm	²'a n j ɛ n ɛː m
angett	²'a n j ɛ t
angick	²'a n j ɪ k
angiven	²'a n j iː v ɛ n
angola	a n ɡ oː l a
angrep	²'a n ɡ r eː p
angrepp	²'a n ɡ r ɛ p
angripa	²'a n ɡ r iː p ɛ r
angränsande	²'a n ɡ r ɛ n s a n d ɛ
angå	²'a n ɡ oː r
angående	²'a n ɡ oː ɛ n d ɛ
angöra	²'a n j øː r
anhalt	²'a n h a l t
anhopning	²'a n h uː p n ɪ ŋ
anhängare	²'a n h ɛ ŋ a r ɛ
anhängiggöra	²s ²'a n h ɛ ŋ ɡ ɪ ɡ j œ́ː r a
anhålla	²'a n h ɔ l ɛ r
anhållan	²'a n h ɔ l a n
anhållande	²'a n h ɔ l a n d ɛ
anhöll	²'a n h œ l
anhörig	²'a n h øː r ɪ ɡ
animalisk	a n ɪ m 'ɑː l ɪ s k
animerad	a n ɪ m 'eː r a d
aning	²'ɑː n ɪ ŋ
aningslös	²ɑː n ɪ ŋ s l øː s
anis	'ɑː n ɪ s
anka	²'a ŋ k a
ankar	²'a ŋ k a r
ankare	²'a ŋ k a r ɛ
ankdamm	²'a ŋ k d a m
ankeborg	a ŋ k ɛ b ɔ r j
ankel	²'a ŋ k ɛ l
anklaga	²'a n k l ɑː ɡ a
anklagar	²'a n k l ɑː ɡ a r
anklagelse	²'a n k l ɑː ɡ ɛ l s ɛ
anklang	²'a n k l a ŋ
ankn	²'a n k n yː t n ɪ ŋ
anknyta	²'a n k n yː t ɛ r
anknytning	²'a n k n yː t n ɪ ŋ
anknytningsfall	²'a n k n yː t n ɪ ŋ s f a l
ankomma	²'a n k ɔ m ɛ r
ankomst	²'a n k ɔ m s t
ankra	²'a ŋ k r a
ankrar	²'a ŋ k r a r
anlag	²'a n l ɑː ɡ
anledning	²'a n l eː d n ɪ ŋ
anlete	²'a n l eː t ɛ
anlita	²'a n l iː t a
anlitar	²'a n l iː t a r
anlägga	²'a n l ɛ ɡ ɛ r
anläggning	²'a n l ɛ ɡ n ɪ ŋ
anlända	²'a n l ɛ n d ɛ r
anlöpa	²'a n l øː p ɛ r
anmana	²'a n m ɑː n a
anmanar	²'a n m ɑː n a r
anmoda	²'a n m uː d a
anmodan	²'a n m uː d a n
anmodar	²'a n m uː d a r
anmäla	²'a n m ɛː l ɛ r
anmälan	²'a n m ɛː l a n
anmälning	²'a n m ɛː l n ɪ ŋ
anmärka	²'a n m a r k ɛ r
anmärkning	²'a n m a r k n ɪ ŋ
anmärkningsvärd	²'a n m a r k n ɪ ŋ s v ɛː d
anna	²s a n a
annalkande	²'a n a l k a n d ɛ
annan	²'a n a n
annandag	²'a n a n d ɑː ɡ
annanstans	²'a n a n s t a n s
annars	²'a n a ɕ
annektera	a n ɛ k t 'eː r a
annekterar	a n ɛ k t 'eː r a r
annerstad	a n ɛ s t a
annex	a n 'ɛ k s
anno	a n 'uː
annons	a n 'ɔ n s
annonsera	a n ɔ n s 'eː r a
annonserar	a n ɔ n s 'eː r a r
annorlunda	²'a n ʊ l ɵ n d a
annorstädes	²'a n ʊ ɕ t ɛː d ɛ s
annullera	a n ɵ l 'eː r a
annullerar	a n ɵ l 'eː r a r
anod	a n oː d
anomali	a n ʊ m a l 'iː
anonym	a n ʊ n 'yː m
anor	²'ɑː n ʊ r
anorak	'a n ʊ r a k
anordna	²'a n oː d n a
anordnar	²'a n oː d n a r
anordning	²'a n oː d n ɪ ŋ
anorexi	a n ʊ r ɛ k s 'iː
anpassa	²'a n p a s a
anpassar	²'a n p a s a r
anpasslig	²'a n p a s l ɪ ɡ
anpassning	²'a n p a s n ɪ ŋ
anpassningsbidrag	²'a n p a s n ɪ ŋ s b iː d r ɑː ɡ
anpassningsgrupp	²'a n p a s n ɪ ŋ s ɡ r ɵ p
anrik	²'ɑː n r ɪ k
anrika	²'a n r iː k a
anrikar	²'a n r iː k a r
anropa	²'a n r uː p a
anropar	²'a n r uː p a r
anrätta	²'a n r ɛ t a
anrättar	²'a n r ɛ t a r
anrättning	²'a n r ɛ t n ɪ ŋ
ansa	²'a n s a
ansamling	²'a n s a m l ɪ ŋ
ansar	²'a n s a r
ansat	²s a n s a t
ansats	²'a n s a t s
ansatt	²s a n s a t
anse	²'a n s eː r
ansedd	²'a n s ɛ d
anseende	²'a n s eː ɛ n d ɛ
ansenlig	²'a n s eː n l ɪ ɡ
ansikte	²'a n s ɪ k t ɛ
ansiktslyftning	²'a n s ɪ k t s l ʏ f t n ɪ ŋ
ansjovis	a n ɧ 'uː v ɪ s
anskaffa	²'a n s k a f a
anskaffar	²'a n s k a f a r
anskrämlig	²'a n s k r ɛ m l ɪ ɡ
anslag	²'a n s l ɑː ɡ
ansluta	²'a n s l ʉː t ɛ r
anslutning	²'a n s l ʉː t n ɪ ŋ
anslå	²'a n s l oː
anslår	²'a n s l oː r
anspela	²'a n s p eː l a
anspelar	²'a n s p eː l a r
anspråk	²'a n s p r oː k
anspråkslös	²'a n s p r oː k s l øː s
anstalt	²'a n s t a l t
anstifta	²'a n s t ɪ f t a
anstiftar	²'a n s t ɪ f t a r
anstormning	²'a n s t ɔ r m n ɪ ŋ
anstränga	²'a n s t r ɛ ŋ ɛ r
ansträngning	²'a n s t r ɛ ŋ n ɪ ŋ
anställa	²'a n s t ɛ l ɛ r
anställd	²'a n s t ɛ l d
anställning	²'a n s t ɛ l n ɪ ŋ
anställningsskydd	²'a n s t ɛ l n ɪ ŋ s ɧ ʏ d
anständig	²'a n s t ɛ n d ɪ ɡ
anstå	²'a n s t oː
anstånd	²'a n s t ɔ n d
anstår	²'a n s t oː r
anstöt	²'a n s t øː t
anstötlig	²'a n s t øː t l ɪ ɡ
ansvar	²'a n s v ɑː r
ansvara	²'a n s v ɑː r a
ansvarar	²'a n s v ɑː r a r
ansvarig	²'a n s v ɑː r ɪ ɡ
ansvarsfrihet	²'a n s v ɑː ɕ f r iː h eː t
ansvarslös	²'a n s v ɑː ɕ l øː s
ansätta	²'a n s ɛ t ɛ r
ansåg	²'a n s oː ɡ
ansöka	²'a n s øː k ɛ r
ansökan	²'a n s øː k a n
ansökning	²'a n s øː k n ɪ ŋ
anta	²'a n t ɑː r
antagande	²'a n t ɑː ɡ a n d ɛ
