!sil	SIL
'c'que	s k
spaghettis	s p a ɡ e t i
spahi	s p a i
spam	s p a m
spar	s p a ʁ
sparadrap	s p a ʁ a d ʁ a
spare	s p a ʁ
spares	s p a ʁ
spares-pobs	s p a ʁ p o b
spares-queues-d'or	s p a ʁ k ø d o ʁ
spares-synagres	s p a ʁ t s i n a ɡ ʁ
sparte	s p a ʁ t
sparterie	s p a ʁ t ʁ i
spartiate	s p a ʁ s j a t
spartiates	s p a ʁ s j a t
spasme	s p a s m
spasmes	s p a s m
spasmodique	s p a s m ɔ d i k
spasmodiques	s p a s m ɔ d i k
spastique	s p a s t i k
spatial	s p a s j a l
spatiale	s p a s j a l
spatiales	s p a s j a l
spatule	s p a t y l
spatulés	s p a t y l e
speak	s p i k
speaker	s p i k œ ʁ
speakerine	s p i k ʁ i n
speakers	s p i k œ ʁ
spears	s p i ʁ
spect	s p ɛ
specta	s p ɛ k t a
spectacle	s p ɛ k t a k l
spectacle-là	s p ɛ k t a k l l a
spectacles	s p ɛ k t a k l
spectaculaire	s p ɛ k t a k y l ɛ ʁ
spectaculaires	s p ɛ k t a k y l ɛ ʁ
spectateur	s p ɛ k t a t œ ʁ
spectateurs	s p ɛ k t a t œ ʁ
spectatrice	s p ɛ k t a t ʁ i s
spectatrices	s p ɛ k t a t ʁ i s
spectral	s p ɛ k t ʁ a l
spectrales	s p ɛ k t ʁ a l
spectre	s p ɛ k t ʁ
spectres	s p ɛ k t ʁ
speech	s p i t ʃ
speechs	s p i t ʃ
speed	s p i d
speeder	s p i d e
speedy	s p i d i
spencer	s p ɛ̃ s ɛ ʁ
spend	s p ɑ̃
spenglériens	s p ɛ̃ ɡ l ɛ ʁ j ɛ̃
sperme	s p ɛ ʁ m
speroni	s p ʁ ɔ n i
speybrock	s p e b ʁ ɔ k
sphinx	s f ɛ̃ k s
sphynx	s f ɛ̃ k s
sphère	s f ɛ ʁ
sphères	s f ɛ ʁ
sphérique	s f e ʁ i k
sphériques	s f e ʁ i k
sphéroïde	s f e ʁ ɔ i d
spic	s p i k
spiderman	s p i d œ ʁ m ɑ̃
spiegelberg	s p i ʒ ɛ l b ɛ ʁ ɡ
spilet	s p i l ɛ
spilett	s p i l ɛ t
spindler	s p i n d l œ ʁ
spinelles	s p i n ɛ l
sping	s p i ŋ
spinorbis	s p i n ɔ ʁ b i
spirale	s p i ʁ a l
spirales	s p i ʁ a l
spiraliforme	s p i ʁ a l i f ɔ ʁ m
spiraliformes	s p i ʁ a l i f ɔ ʁ m
spire	s p i ʁ
spirit	s p i ʁ i
spirit-shops	s p i ʁ i t ʃ ɔ p
spirite	s p i ʁ i t
spiritualité	s p i ʁ i t ɥ a l i t e
spirituel	s p i ʁ i t ɥ ɛ l
spirituelle	s p i ʁ i t ɥ ɛ l
spirituellement	s p i ʁ i t ɥ ɛ l m ɑ̃
spirituelles	s p i ʁ i t ɥ ɛ l
spirituels	s p i ʁ i t ɥ ɛ l
spiritueux	s p i ʁ i t ɥ ø
spirou	s p i ʁ u
spitzberg	s p i t s b ɛ ʁ ɡ
splendeur	s p l ɑ̃ d œ ʁ
splendeurs	s p l ɑ̃ d œ ʁ
splendide	s p l ɑ̃ d i d
splendidement	s p l ɑ̃ d i d m ɑ̃
splendides	s p l ɑ̃ d i d
split	s p l i
spoelberch	s p ɔ ɛ l b ɛ ʁ ʃ
spoken	s p o k ɛ n
spoliation	s p ɔ l j a s j ɔ̃
spolier	s p ɔ l j e
spolié	s p ɔ l j e
spon	s p ɔ̃
spondyle	s p ɔ̃ d i l
spondyles	s p ɔ̃ d i l
spongiaires	s p ɔ̃ ʒ j ɛ ʁ
spongieuse	s p ɔ̃ ʒ j ø z
sponsors	s p ɔ̃ s ɔ ʁ
spontané	s p ɔ̃ t a n e
spontanée	s p ɔ̃ t a n e
spontanées	s p ɔ̃ t a n e
spontanément	s p ɔ̃ t a n e m ɑ̃
spontanés	s p ɔ̃ t a n e
sporades	s p o ʁ a d
sporadiquement	s p ɔ ʁ a d i k m ɑ̃
sporadiques	s p ɔ ʁ a d i k
sporanges	s p ɔ ʁ ɑ̃ ʒ
spores	s p ɔ ʁ
sport	s p ɔ ʁ
sport-là	s p ɔ ʁ l a
sportif	s p ɔ ʁ t i f
sportifs	s p ɔ ʁ t i f
sportive	s p ɔ ʁ t i v
sportives	s p ɔ ʁ t i v
sports	s p ɔ ʁ
spot	s p ɔ t
spring	s p ʁ i ŋ
spring-berr	s p ʁ i ŋ b e ʁ
sprint	s p ʁ i n t
sprite	s p ʁ i t
spurzheim	s p y ʁ t s a j m
spysschaert	s p i ʃ ɛ ʁ
spé	s p e
spéc	s p e k
spécia	s p e s j a
spécial	s p e s j a l
spéciale	s p e s j a l
spécialement	s p e s j a l m ɑ̃
spéciales	s p e s j a l
spéciali	s p e s j a l i
spécialisaient	s p e s j a l i z ɛ
spécialisation	s p e s j a l i z a s j ɔ̃
spécialisations	s p e s j a l i z a s j ɔ̃
spécialise	s p e s j a l i z
spécialiser	s p e s j a l i z e
spécialiste	s p e s j a l i s t
spécialistes	s p e s j a l i s t
spécialisé	s p e s j a l i z e
spécialisée	s p e s j a l i z e
spécialisées	s p e s j a l i z e
spécialisés	s p e s j a l i z e
spécialité	s p e s j a l i t e
spécialités	s p e s j a l i t e
spécialo-colonialo	s p e s j a l ɔ k ɔ l ɔ n j a l o
spécials	s p e s j a l
spéciaux	s p e s j o
spécieux	s p e s j ø
spécifia	s p e s i f j a
spécificité	s p e s i f i s i t e
spécificités	s p e s i f i s i t e
spécifier	s p e s i f j e
spécifique	s p e s i f i k
spécifiquement	s p e s i f i k m ɑ̃
spécifiques	s p e s i f i k
spécifié	s p e s i f j e
spécimen	s p e s i m ɛ n
spécimens	s p e s i m ɛ n
spéculant	s p e k y l ɑ̃
spéculateur	s p e k y l a t œ ʁ
spéculateurs	s p e k y l a t œ ʁ
spéculation	s p e k y l a s j ɔ̃
spéculations	s p e k y l a s j ɔ̃
spéculative	s p e k y l a t i v
spéculativement	s p e k y l a t i v m ɑ̃
spécule	s p e k y l
spéculer	s p e k y l e
spélagiques	s p e l a ʒ i k
spéracèdes	s p e ʁ a s ɛ d
sq	ɛ s k y
squale	s k w a l
squales	s k w a l
squales-galonnés	s k w a l ɡ a l ɔ n e
squales-marteaux	s k w a l e m a ʁ t o
squales-milandres	s k w a l m i l ɑ̃ d ʁ
squales-perlons	s k w a l p ɛ ʁ l ɔ̃
squames	s k w a m
squammeuse	s k w a m ø z
square	s k w a ʁ
squares	s k w a ʁ
squash	s k w a ʃ
squat	s k w a t
squats	s k w a t
squattaient	s k w a t ɛ
squatte	s k w a t
squattent	s k w a t
squatter	s k w a t œ ʁ
squatterais	s k w a t ə ʁ ɛ
squatteurs	s k w a t œ ʁ
squattiez	s k w a t j e
squatts	s k w a t
squatté	s k w a t e
squaw	s k w a
squaws	s k w o
squeeze	s k w i z
squelette	s k ə l ɛ t
squelettes	s k ə l ɛ t
squire	s k i ʁ
src	ɛ s ɛ ʁ s e
sri	s ʁ i
srilankais	s ʁ i l a ŋ k ɛ
sruick	s ʁ ɥ i k
ss	ɛ s ɛ s
sse	s
sse-khou-tsuane-chou	s k u t s u a n ʃ u
ssemblait	s ɑ̃ b l ɛ
sser	s e
ssr	ɛ s ɛ s ɛ ʁ
st	ɛ s t e
st-blaise	s b l ɛ z
st-dié	s d j e
st-maurice	s m o ʁ i s
sta	s t a
stabel	s t a b ɛ l
stabilisation	s t a b i l i z a s j ɔ̃
stabilise	s t a b i l i z
stabiliser	s t a b i l i z e
stabilisé	s t a b i l i z e
stabilisée	s t a b i l i z e
stabilisés	s t a b i l i z e
stabilité	s t a b i l i t e
stable	s t a b l
stables	s t a b l
stabules	s t a b y l
stade	s t a d
stade-là	s t a d l a
stades	s t a d
staffa	s t a f a
stag	s t a ɡ
stage	s t a ʒ
stage-là	s t a ʒ l a
stages	s t a ʒ
stagiaire	s t a ʒ j ɛ ʁ
stagiaires	s t a ʒ j ɛ ʁ
stagnaient	s t a ɡ n ɛ
stagnant	s t a ɡ n ɑ̃
stagnante	s t a ɡ n ɑ̃ t
stagnantes	s t a ɡ n ɑ̃ t
stagnation	s t a ɡ n a s j ɔ̃
stagnent	s t a ɡ n
stagner	s t a ɡ n e
stagné	s t a ɡ n e
stains	s t ɛ̃
stakhanoviste	s t a k a n ɔ v i s t
stalactites	s t a l a k t i t
staline	s t a l i n
stalingrad	s t a l i n ɡ ʁ a d
stalinisme	s t a l i n i s m
staliniste	s t a l i n i s t
stalle	s t a l
stalles	s t a l
stamboul	s t ɑ̃ b u l
stamisti	s t a m i s t i
stances	s t ɑ̃ s
stand	s t ɑ̃ d
standard	s t ɑ̃ d a ʁ
standardiste	s t ɑ̃ d a ʁ d i s t
standardisé	s t ɑ̃ d a ʁ d i z e
standards	s t ɑ̃ d a ʁ
standing	s t ɑ̃ d i ŋ
stands	s t ɑ̃ d
stanguennec	s t ɑ̃ ɡ ɛ n ɛ k
stanislas	s t a n i s l a s
stanislavski	s t a n i s l a v s k i
stanislavskienne	s t a n i s l a v s k j ɛ n
stanley	s t ɑ̃ l ɛ
staps	s t a p
star	s t a ʁ
starbucks	s t a ʁ b œ k s
starisation	s t a ʁ i z a s j ɔ̃
starky	s t a ʁ k i
stars	s t a ʁ
starwars	s t a ʁ w a ʁ
stasi	s t a z i
stasie	s t a z i
state	s t a t
states	s t ɛ t s
station	s t a s j ɔ̃
station-service	s t a s j ɔ̃ s ɛ ʁ v i s
stationnaient	s t a s j ɔ n ɛ
stationnaire	s t a s j ɔ n ɛ ʁ
stationnaires	s t a s j ɔ n ɛ ʁ
stationnait	s t a s j ɔ n ɛ
stationnant	s t a s j ɔ n ɑ̃
stationnement	s t a s j ɔ n m ɑ̃
stationner	s t a s j ɔ n e
stationné	s t a s j ɔ n e
stationnée	s t a s j ɔ n e
stationnées	s t a s j ɔ n e
stations	s t a s j ɔ̃
statique	s t a t i k
statisticien	s t a t i s t i s j ɛ̃
statistique	s t a t i s t i k
statistiquement	s t a t i s t i k m ɑ̃
statistiques	s t a t i s t i k
stats	s t a t
statu	s t a t y
statuaire	s t a t ɥ ɛ ʁ
statue	s t a t y
statuer	s t a t ɥ e
statues	s t a t y
statuette	s t a t ɥ ɛ t
statuettes	s t a t ɥ ɛ t
statufiée	s t a t y f j e
stature	s t a t y ʁ
statut	s t a t y
statut-là	s t a t y t l a
statutaire	s t a t y t ɛ ʁ
statutairement	s t a t y t ɛ ʁ m ɑ̃
statuts	s t a t y
stauffen	s t o f ɛ n
stavropol	s t a v ʁ o p ɔ l
staël	s t a ɛ l
ste	s t
steak	s t ɛ k
steaks	s t ɛ k
steam	s t i m
steamboat	s t i m b o t
steamboats	s t i m b o t
steamer	s t i m œ ʁ
steamers	s t i m œ ʁ
steenvoorde	s t i n v ɔ ɔ ʁ d
stefano	s t e f a n o
steh	s t e
stein	s t ɛ j n
steinbeck	s t ɛ j n b ɛ k
steinheil	s t ɛ n ɛ j
stella	s t ɛ l a
stellaire	s t ɛ l ɛ ʁ
stellaires	s t ɛ l ɛ ʁ
stello	s t ɛ l o
stellère	s t ɛ l ɛ ʁ
stellés	s t ɛ l l e
steno-dactylo	s t ɛ n o d a k t i l o
stentor	s t ɑ̃ t ɔ ʁ
stephan	s t e f ɑ̃
stephanus	s t ɛ ʃ a n y s
stephen	s t e f ɛ n
stephens	s t e f ɛ n
steppe	s t ɛ p
steppes	s t ɛ p
stercoraire	s t ɛ ʁ k ɔ ʁ ɛ ʁ
stercoraires	s t ɛ ʁ k ɔ ʁ ɛ ʁ
sterling	s t ɛ ʁ l i ŋ
sterna	s t ɛ ʁ n a
sternale	s t ɛ ʁ n a l
sterne	s t ɛ ʁ n
sterno-cleido-mastoïdien	s t ɛ ʁ n ɔ k l e i d ɔ m a s t ɔ i d j ɛ̃
sternum	s t ɛ ʁ n ɔ m
steuben	s t œ b ɛ̃
steve	s t i v
stevie	s t e v i
stewart	s t e w a ʁ
steïr	s t ɛ i ʁ
stickers	s t i k œ ʁ
stickmann	s t i k m a n
stigmate	s t i ɡ m a t
stigmatise	s t i ɡ m a t i z
stigmatiser	s t i ɡ m a t i z e
stigmatisés	s t i ɡ m a t i z e
stimulait	s t i m y l ɛ
stimulant	s t i m y l ɑ̃
stimulante	s t i m y l ɑ̃ t
stimulants	s t i m y l ɑ̃
stimulation	s t i m y l a s j ɔ̃
stimule	s t i m y l
stimulent	s t i m y l
stimuler	s t i m y l e
stimulé	s t i m y l e
stimulés	s t i m y l e
stipule	s t i p y l
stipuler	s t i p y l e
stipulé	s t i p y l e
stiring-wendel	s t i ʁ i ŋ w ɛ n d ɛ l
stirling	s t i ʁ l i ŋ
stock	s t ɔ k
stockage	s t ɔ k a ʒ
stockait	s t o k ɛ
stocker	s t ɔ k e
stockes	s t ɔ k
stockholm	s t ɔ k ɔ l m
stocks	s t ɔ k
stockée	s t o k e
stoff	s t ɔ f
stoke	s t o k
stomapodes	s t ɔ m a p ɔ d
stones	s t ɔ n
stop	s t ɔ p
stoppa	s t ɔ p a
stoppe	s t ɔ p
stopper	s t ɔ p e
stoppé	s t ɔ p e
storchi	s t ɔ ʁ ʃ i
store	s t ɔ ʁ
stores	s t ɔ ʁ
storm-glass	s t ɔ ʁ m ɡ l a s
storts	s t ɔ ʁ
story	s t o ʁ i
storytelling	s t ɔ ʁ i t ɛ l i ŋ
stoujours	s t u ʒ u ʁ
stoïcienne	s t ɔ i s j ɛ n
stoïcisme	s t ɔ i s i s m
stoïque	s t ɔ i k
stoïquement	s t ɔ i k m ɑ̃
stoïques	s t ɔ i k
strabon	s t ʁ a b ɔ̃
strada	s t ʁ a d a
strady	s t ʁ a d i
straete	s t ʁ ɛ t
strange	s t ʁ ɑ̃ ʒ
strangulation	s t ʁ ɑ̃ ɡ y l a s j ɔ̃
strangulée	s t ʁ ɑ̃ ɡ y l e
strapontin	s t ʁ a p ɔ̃ t ɛ̃
strapontins	s t ʁ a p ɔ̃ t ɛ̃
strasbourg	s t ʁ a s b u ʁ
strasbourg-sud	s t ʁ a s b u ʁ s y d
strass	s t ʁ a s
strat	s t ʁ a
stratagème	s t ʁ a t a ʒ ɛ m
stratagèmes	s t ʁ a t a ʒ ɛ m
strate	s t ʁ a t
strates	s t ʁ a t
stratifications	s t ʁ a t i f i k a s j ɔ̃
stratifié	s t ʁ a t i f j e
stratifiées	s t ʁ a t i f j e
stratège	s t ʁ a t ɛ ʒ
stratégie	s t ʁ a t e ʒ i
stratégies	s t ʁ a t e ʒ i
stratégique	s t ʁ a t e ʒ i k
strauss	s t ʁ o s
stravinski	s t ʁ a v i n s k i
stravinsky	s t ʁ a v ɛ̃ s k i
stream	s t ʁ i m
streaming	s t ʁ i m i ŋ
streams	s t ʁ i m
street	s t ʁ i t
stress	s t ʁ ɛ s
stressant	s t ʁ ɛ s ɑ̃
stressante	s t ʁ ɛ s ɑ̃ t
stressantes	s t ʁ ɛ s ɑ̃ t
stresse	s t ʁ ɛ s
stresser	s t ʁ ɛ s e
stressé	s t ʁ ɛ s e
stressée	s t ʁ ɛ s e
stressés	s t ʁ ɛ s e
strette	s t ʁ ɛ t
strict	s t ʁ i k t
stricte	s t ʁ i k t
strictement	s t ʁ i k t ə m ɑ̃
strictes	s t ʁ i k t
strident	s t ʁ i d
stridente	s t ʁ i d ɑ̃ t
stridents	s t ʁ i d ɑ̃
stries	s t ʁ i
string	s t ʁ i ŋ
striées	s t ʁ i j e
striés	s t ʁ i j e
stromae	s t ʁ ɔ m a
stromatées	s t ʁ ɔ m a t e
stromaé	s t ʁ ɔ m a e
strombes	s t ʁ ɔ̃ b
strong	s t ʁ ɔ̃ ŋ
strongborough	s t ʁ ɔ̃ ŋ b ɔ ʁ a w
strophe	s t ʁ ɔ f
strophes	s t ʁ ɔ f
struc	s t ʁ y k
struct	s t ʁ y k t
structurant	s t ʁ y k t y ʁ ɑ̃
structurants	s t ʁ y k t y ʁ ɑ̃
structuraux	s t ʁ y k t y ʁ o
structure	s t ʁ y k t y ʁ
structurel	s t ʁ y k t y ʁ ɛ l
structurelle	s t ʁ y k t y ʁ ɛ l
structurelles	s t ʁ y k t y ʁ ɛ l
structurels	s t ʁ y k t y ʁ ɛ l
structurent	s t ʁ y k t y ʁ
structurer	s t ʁ y k t y ʁ e
structures	s t ʁ y k t y ʁ
structuré	s t ʁ y k t y ʁ e
structurée	s t ʁ y k t y ʁ e
structurées	s t ʁ y k t y ʁ e
strychnine	s t ʁ i k n i n
stt	ɛ s t e t e
stuart	s t y a ʁ
stuc	s t y k
studieuses	s t y d j ø z
studio	s t y d j o
studios	s t y d j o
stuhlingen	s t ø l ɛ̃ ʒ ɛ̃
stupeur	s t y p œ ʁ
stupide	s t y p i d
stupidement	s t y p i d m ɑ̃
stupides	s t y p i d
stupidité	s t y p i d i t e
stupéfaction	s t y p e f a k s j ɔ̃
stupéfait	s t y p e f ɛ
stupéfaite	s t y p e f ɛ t
stupéfaits	s t y p e f ɛ
stupéfia	s t y p e f j a
stupéfiaient	s t y p e f j ɛ
stupéfiant	s t y p e f j ɑ̃
stupéfiante	s t y p e f j ɑ̃ t
stupéfiantes	s t y p e f j ɑ̃ t
stupéfiants	s t y p e f j ɑ̃
stupéfie	s t y p e f i
stupéfier	s t y p e f j e
stupéfièrent	s t y p e f j ɛ ʁ
stupéfié	s t y p e f j e
stupéfiée	s t y p e f j e
stupéfiés	s t y p e f j e
sturioniens	s t y ʁ j ɔ n j ɛ̃
sturni	s t y ʁ n i
stuttgard	ʃ t y ɡ a ʁ
stuttgart	ʃ t u t ɡ a ʁ t
styl	s t i l
style	s t i l
style-là	s t i l l a
styler	s t i l e
styles	s t i l
stylet	s t i l ɛ
stylets	s t i l ɛ
stylisent	s t i l i z
styliste	s t i l i s t
stylistiques	s t i l i s t i k
stylo	s t i l o
stylo-bille	s t i l o b i j
stylo-là	s t i l o l a
stylo-plume	s t i l o p l y m
stylobate	s t i l ɔ b a t
stylographe	s t i l ɔ ɡ ʁ a f
stylos	s t i l ɔ
stylos-bille	s t i l o b i j
stylos-billes	s t i l o b i j
stylé	s t i l e
stylés	s t i l e
stype	s t i p
stèle	s t ɛ l
stères	s t ɛ ʁ
stéarine	s t e a ʁ i n
stéarique	s t e a ʁ i k
stéariques	s t e a ʁ i k
stégosaure	s t e ɡ ɔ z ɔ ʁ
sténie	s t e n i
sténo	s t e n o
sténo-comptable	s t e n ɔ k ɔ̃ t a b l
sténo-dactylographie	s t e n o d a k t i l ɔ ɡ ʁ a f i
sténodactylo	s t e n o d a k t i l o
sténorhynques	s t e n o ʁ ɛ̃ k
stéph	s t e f
stéphane	s t e f a n
stéphanie	s t e f a n i
stérile	s t e ʁ i l
stériles	s t e ʁ i l
stérilisait	s t e ʁ i l i z ɛ
stérilité	s t e ʁ i l i t e
stéréoscope	s t e ʁ e ɔ s k ɔ p
stéréotypes	s t e ʁ e ɔ t i p
stéréotypé	s t e ʁ e ɔ t i p e
stéréotypée	s t e ʁ e ɔ t i p e
su	s y
suaient	s ɥ ɛ
suaire	s ɥ ɛ ʁ
suaires	s ɥ ɛ ʁ
suais	s ɥ ɛ
suait	s ɥ ɛ
suane	s ɥ a n
suant	s ɥ ɑ̃
suard	s ɥ a ʁ
suarez	s ɥ a ʁ e
suave	s ɥ a v
suaves	s ɥ a v
suavité	s ɥ a v i t e
sub	s y b
subalaires	s y b a l ɛ ʁ
subalterne	s y b a l t ɛ ʁ n
subalternes	s y b a l t ɛ ʁ n
subaquatiques	s y b a k w a t i k
subbrachiens	s y b ʁ a ʃ j ɛ̃
subdivisent	s y b d i v i z
subdivision	s y b d i v i z j ɔ̃
subdivisions	s y b d i v i z j ɔ̃
subdivison	s y b d i v i z ɔ̃
subdivisées	s y b d i v i z e
subdivisés	s y b d i v i z e
suberbie	s y b ɛ ʁ b i
subi	s y b i
subie	s y b i
subies	s y b i
subir	s y b i ʁ
subira	s y b i ʁ a
subirais	s y b i ʁ ɛ
subirait	s y b i ʁ ɛ
subirez	s y b i ʁ e
subiriez	s y b i ʁ j e
subiront	s y b i ʁ ɔ̃
subis	s y b i
subissaient	s y b i s ɛ
subissais	s y b i s ɛ
subissait	s y b i s ɛ
subissait-il	s y b i s ɛ t i l
subissant	s y b i s ɑ̃
subissent	s y b i s
subissez	s y b i s e
subissions	s y b i s j ɔ̃
subissons	s y b i s ɔ̃
subit	s y b i
subite	s y b i t
subitement	s y b i t m ɑ̃
subites	s y b i t
subits	s y b i
subjectif	s y b ʒ ɛ k t i f
subjective	s y b ʒ ɛ k t i v
subjectivité	s y b ʒ ɛ k t i v i t e
subjonctif	s y b ʒ ɔ̃ k t i f
subjonctifs	s y b ʒ ɔ̃ k t i f
subjuguait	s y b ʒ y ɡ ɛ
subjugue	s y b ʒ y ɡ
subjuguer	s y b ʒ y ɡ e
subjugués	s y b ʒ y ɡ e
sublimation	s y b l i m a s j ɔ̃
sublime	s y b l i m
sublimer	s y b l i m e
sublimes	s y b l i m
sublimité	s y b l i m i t e
sublimé	s y b l i m e
sublimée	s y b l i m e
submerger	s y b m ɛ ʁ ʒ e
submergeraient	s y b m ɛ ʁ ʒ ə ʁ ɛ
submergé	s y b m ɛ ʁ ʒ e
submergée	s y b m ɛ ʁ ʒ e
submergées	s y b m ɛ ʁ ʒ e
submersion	s y b m ɛ ʁ s j ɔ̃
subordonné	s y b ɔ ʁ d ɔ n e
subordonnée	s y b ɔ ʁ d ɔ n e
subordonnés	s y b ɔ ʁ d ɔ n e
suborné	s y b ɔ ʁ n e
subprimes	s y b p ʁ i m
subrachiens	s y b ʁ a ʃ j ɛ̃
subrette	s y b ʁ ɛ t
subrogé	s y b ʁ ɔ ʒ e
subsidiaire	s y b z i d j ɛ ʁ
subsidiairement	s y b z i d j ɛ ʁ m ɑ̃
subsista	s y b z i s t a
subsistaient	s y b z i s t ɛ
subsistait	s y b z i s t ɛ
subsistance	s y b z i s t ɑ̃ s
subsiste	s y b z i s t
subsistent	s y b z i s t
subsister	s y b z i s t e
subsistera-t-il	s y b z i s t ə ʁ a t i l
subsistât	s y b z i s t a
subsisté	s y b z i s t e
substance	s y p s t ɑ̃ s
substances	s y b s t ɑ̃ s
substancia	s y b s t ɑ̃ s j a
substanter	s y b s t ɑ̃ t e
substantiel	s y p s t ɑ̃ s j ɛ l
substantielle	s y p s t ɑ̃ s j ɛ l
substantiels	s y p s t ɑ̃ s j ɛ l
substantifs	s y p s t ɑ̃ t i f
substitua	s y b s t i t ɥ a
substituable	s y p s t i t ɥ a b l
substituant	s y b s t i t ɥ ɑ̃
substituent	s y b s t i t y
substituer	s y p s t i t ɥ e
substituerait	s y b s t i t y ʁ ɛ
substitut	s y p s t i t y
substitution	s y b s t i t y s j ɔ̃
substitutions	s y p s t i t y s j ɔ̃
substitué	s y b s t i t ɥ e
substituée	s y b s t i t ɥ e
substruction	s y p s t ʁ y k s j ɔ̃
substructions	s y b s t ʁ y k s j ɔ̃
subséquente	s y p s e k ɑ̃ t
subterfuge	s y p t ɛ ʁ f y ʒ
subterfuges	s y p t ɛ ʁ f y ʒ
subtil	s y p t i l
subtile	s y p t i l
subtilement	s y p t i l m ɑ̃
subtiles	s y p t i l
subtilité	s y p t i l i t e
subtilités	s y p t i l i t e
subtils	s y p t i l
subulées	s y b y l e
subvenir	s y b v ə n i ʁ
subvention	s y b v ɑ̃ s j ɔ̃
subventionnent	s y b v ɑ̃ s j ɔ n
subventionner	s y b v ɑ̃ s j ɔ n e
subventionné	s y b v ɑ̃ s j ɔ n e
subventionnées	s y b v ɑ̃ s j ɔ n e
subventions	s y b v ɑ̃ s j ɔ̃
subversives	s y b v ɛ ʁ s i v
subway	s y b w ɛ
subît	s y b i
suc	s y k
suc-ca-tush	s y s e k a t u ʃ
success	s y k s ɛ s
successeur	s u k s ɛ s œ ʁ
successeurs	s y k s e s œ ʁ
successifs	s y k s ɛ s i f
succession	s y k s e s j ɔ̃
successions	s y k s e s j ɔ̃
successive	s y k s ɛ s i v
successivement	s y k s e s i v m ɑ̃
successives	s y k s ɛ s i v
succinct	s y k s ɛ̃
succincte	s y k s ɛ̃ t
succinctement	s y k s ɛ̃ t m ɑ̃
succincts	s y k s ɛ̃
succint	s y k s ɛ̃
succintement	s y k s ɛ̃ t m ɑ̃
succion	s y s j ɔ̃
succombait	s y k ɔ̃ b ɛ
succombant	s y k ɔ̃ b ɑ̃
succombe	s y k ɔ̃ b
succomber	s y k ɔ̃ b e
succomberait	s y k ɔ̃ b ə ʁ ɛ
succombé	s y k ɔ̃ b e
succube	s y k y b
succulent	s y k y l ɑ̃
succulente	s y k y l ɑ̃ t
succursale	s y k y ʁ s a l
succursales	s y k y ʁ s a l
succède	s y k s ɛ d
succèdent	s y k s ɛ d
succès	s y k s ɛ
succéda	s y k s e d a
succédaient	s y k s e d ɛ
succédait	s y k s e d ɛ
succédant	s y k s e d ɑ̃
succédané	s y k s e d a n e
succéder	s y k s e d e
succédèrent	s y k s e d ɛ ʁ
succédé	s y k s e d e
succédées	s y k s e d e
suce	s y s
suceptible	s y s ɛ p t i b l
sucer	s y s e
suceras	s y s ə ʁ a
suces	s y s
sucette	s y s ɛ t
sucettes	s y s ɛ t
suceurs	s y s œ ʁ
suceuse	s y s ø z
such	s y k
suchet	s y ʃ ɛ
suchetet	s y ʃ ə t ɛ
sucrait	s y k ʁ ɛ
sucre	s y k ʁ
sucrerie	s y k ʁ ə ʁ i
sucreries	s y k ʁ ə ʁ i
sucres	s y k ʁ
sucrier	s y k ʁ i j e
sucré	s y k ʁ e
sucrée	s y k ʁ e
sucrées	s y k ʁ e
sucrés	s y k ʁ e
sucy-en-brie	s y s i ɑ̃ b ʁ i
sucèrent	s y s ɛ ʁ
sud	s y d
sud-a	s y d a
sud-africaine	s y d a f ʁ i k ɛ n
sud-américaine	s y d a m e ʁ i k ɛ n
sud-américains	s y d a m e ʁ i k ɛ̃
sud-est	s y d ɛ s t
sud-ouest	s y d w ɛ s t
sud-sud-est	s y d s y d ɛ s t
sud-sud-ouest	s y d s y d w ɛ s t
sudc	s y d e s e
sudiste	s y d i s t
sudistes	s y d i s t
sudoku	s u d o k u
sue	s y
suel	s ɥ ɛ l
suent	s y
suer	s ɥ e
sues	s y
sueur	s ɥ œ ʁ
sueurs	s ɥ œ ʁ
suez	s ɥ ɛ z
suffi	s y f i
suffira	s y f i ʁ a
suffira-t-elle	s y f i ʁ a t ɛ l
suffiraient	s y f i ʁ ɛ
suffirait	s y f i ʁ ɛ
suffire	s y f i ʁ
suffirent	s y f i ʁ
suffiront	s y f i ʁ ɔ̃
suffiront-ils	s y f i ʁ ɔ̃ t i l
suffis	s y f i
suffisa	s y f i z a
suffisaient	s y f i z ɛ
suffisait	s y f i z ɛ
suffisait-il	s y f i z ɛ t i l
suffisament	s y f i z a m
suffisamment	s y f i z a m ɑ̃
suffisance	s y f i z ɑ̃ s
suffisant	s y f i z ɑ̃
suffisante	s y f i z ɑ̃ t
suffisantes	s y f i z ɑ̃ t
suffisants	s y f i z ɑ̃
suffise	s y f i z
suffisent	s y f i z
suffiss	s y f i s
suffissament	s y f i s a m
suffit	s y f i
suffit-elle	s y f i t ɛ l
suffit-il	s y f i t i l
suffocante	s y f ɔ k ɑ̃ t
suffocation	s y f ɔ k a s j ɔ̃
suffoqua	s y f ɔ k a
suffoquaient	s y f ɔ k ɛ
suffoquais	s y f ɔ k ɛ
suffoquait	s y f ɔ k ɛ
suffoquant	s y f ɔ k ɑ̃
suffoque	s y f ɔ k
suffoquer	s y f ɔ k e
suffoqué	s y f ɔ k e
suffoquée	s y f ɔ k e
suffoqués	s y f ɔ k e
suffrage	s y f ʁ a ʒ
suffrages	s y f ʁ a ʒ
suffren	s y f ʁ ɛ n
