a	ɑ
china	t͡ʃ i n ɑ
china(2)	t͡ʃ ɑ j n ɛ
chinamasa	t͡ʃ i n ɑ m ɑ s ɑ
chinangali	t͡ʃ i n ɑ ᵑg ɑ l i
chinese	t͡ʃ i n ɛ s ɛ
chinese(2)	t͡ʃ ɑ j n i z
chinga	t͡ʃ i ᵑg ɑ
chingwalu	t͡ʃ i ᵑg w ɑ l u
chingy	t͡ʃ i ᵑg j
chini	t͡ʃ i n i
chinichini	t͡ʃ i n i t͡ʃ i n i
chinyama	t͡ʃ i n j ɑ m ɑ
chipaka	t͡ʃ i p ɑ k ɑ
chipanga	t͡ʃ i p ɑ ᵑg ɑ
chipata	t͡ʃ i p ɑ t ɑ
chipatta	t͡ʃ i p ɑ t t ɑ
chipeta	t͡ʃ i p ɛ t ɑ
chipoku	t͡ʃ i p ɔ k u
chipole	t͡ʃ i p ɔ l ɛ
chipolopolo	t͡ʃ i p ɔ l ɔ p ɔ l ɔ
chips	t͡ʃ i p s
chips(2)	t͡ʃ i p s
chips(4)	t͡ʃ i p s i
chipsi	t͡ʃ i p s i
chipukizi	t͡ʃ i p u k i z i
chipungahelo	t͡ʃ i p u ᵑg ɑ h ɛ l ɔ
chirac	t͡ʃ i ɾ ɑ k
chirac(2)	ʃ i ɾ ɑ k
chirac(4)	t͡ʃ i ɾ ɑ k i
chiramba	t͡ʃ i ɾ ɑ ᵐɓ ɑ
chirambo	t͡ʃ i ɾ ɑ ᵐɓ ɔ
chiredzi	t͡ʃ i ɾ ɛ ɗ z i
chiriku	t͡ʃ i ɾ i k u
chirwa	t͡ʃ i ɾ w ɑ
chisale	t͡ʃ i s ɑ l ɛ
chisanga	t͡ʃ i s ɑ ᵑg ɑ
chisenga	t͡ʃ i s ɛ ᵑg ɑ
chissano	t͡ʃ i s s ɑ n ɔ
chissano(2)	t͡ʃ i s ɑ n ɔ
chita	t͡ʃ i t ɑ
chita(2)	t͡ʃ i t ɛ
chitalilo	t͡ʃ i t ɑ l i l ɔ
chitama	t͡ʃ i t ɑ m ɑ
chitanda	t͡ʃ i t ɑ ⁿɗ ɑ
chitengwa	t͡ʃ i t ɛ ᵑg w ɑ
chitete	t͡ʃ i t ɛ t ɛ
chiume	t͡ʃ i u m ɛ
chiundu	t͡ʃ i u ⁿɗ u
chivs	t͡ʃ i v s
chiwa	t͡ʃ i w ɑ
chiwanga	t͡ʃ i w ɑ ᵑg ɑ
chiwile	t͡ʃ i w i l ɛ
chiza	t͡ʃ i z ɑ
chizi	t͡ʃ i z i
chizii	t͡ʃ i z i i
chlorine	t͡ʃ l ɔ ɾ i n ɛ
chlorine(2)	k l ɔ ɾ i n
chloroquine	t͡ʃ l ɔ ɾ ɔ k i n ɛ
cho	t͡ʃ ɔ
cho(2)	t͡ʃ ɔ
choc	t͡ʃ ɔ k
choc(4)	t͡ʃ ɔ k i
chocha	t͡ʃ ɔ t͡ʃ ɑ
chochea	t͡ʃ ɔ t͡ʃ ɛ ɑ
chochoni	t͡ʃ ɔ t͡ʃ ɔ n i
chochote	t͡ʃ ɔ t͡ʃ ɔ t ɛ
chocolate	t͡ʃ ɔ k ɔ l ɑ t ɛ
chocolate(2)	t͡ʃ ɔ k l ɛ t
chodawu	t͡ʃ ɔ ɗ ɑ w u
chogm	t͡ʃ ɔ ɠ m
chogm(4)	t͡ʃ ɔ ɠ m u
chogum	t͡ʃ ɔ ɠ u m
chohan	t͡ʃ ɔ h ɑ n
chohan(4)	t͡ʃ ɔ h ɑ n i
choice	t͡ʃ ɔ i k ɛ
choice(2)	t͡ʃ ɔ j s
choka	t͡ʃ ɔ k ɑ
chokaa	t͡ʃ ɔ k ɑ ɑ
chokala	t͡ʃ ɔ k ɑ l ɑ
choke	t͡ʃ ɔ k ɛ
choke(2)	t͡ʃ ɔ k
choki	t͡ʃ ɔ k i
choko	t͡ʃ ɔ k ɔ
chokocho	t͡ʃ ɔ k ɔ t͡ʃ ɔ
chokochoko	t͡ʃ ɔ k ɔ t͡ʃ ɔ k ɔ
chokoleti	t͡ʃ ɔ k ɔ l ɛ t i
chokoraa	t͡ʃ ɔ k ɔ ɾ ɑ ɑ
chole	t͡ʃ ɔ l ɛ
cholela	t͡ʃ ɔ l ɛ l ɑ
cholestral	t͡ʃ ɔ l ɛ s t ɾ ɑ l
chollo	t͡ʃ ɔ l l ɔ
cholo	t͡ʃ ɔ l ɔ
chom	t͡ʃ ɔ m
choma	t͡ʃ ɔ m ɑ
choma(2)	t͡ʃ ɔ m ɛ
chomachoma	t͡ʃ ɔ m ɑ t͡ʃ ɔ m ɑ
chombo	t͡ʃ ɔ ᵐɓ ɔ
chomboh	t͡ʃ ɔ ᵐɓ ɔ h
chome	t͡ʃ ɔ m ɛ
chomola	t͡ʃ ɔ m ɔ l ɑ
chonde	t͡ʃ ɔ ⁿɗ ɛ
chondechonde	t͡ʃ ɔ ⁿɗ ɛ t͡ʃ ɔ ⁿɗ ɛ
chonga	t͡ʃ ɔ ᵑg ɑ
chongo	t͡ʃ ɔ ᵑg ɔ
chonjo	t͡ʃ ɔ ⁿɗ͡ʒ ɔ
chonya	t͡ʃ ɔ n j ɑ
choo	t͡ʃ ɔ ɔ
choo(2)	t͡ʃ u
chooni	t͡ʃ ɔ ɔ n i
chopa	t͡ʃ ɔ p ɑ
chopra	t͡ʃ ɔ p ɾ ɑ
chopra(2)	t͡ʃ ɑ p ɾ ɛ
choroko	t͡ʃ ɔ ɾ ɔ k ɔ
chorus	t͡ʃ ɔ ɾ u s
chorus(2)	k ɔ ɾ ɛ s
chorus(4)	t͡ʃ ɔ ɾ u s i
chota	t͡ʃ ɔ t ɑ
chotara	t͡ʃ ɔ t ɑ ɾ ɑ
chote	t͡ʃ ɔ t ɛ
chove	t͡ʃ ɔ v ɛ
chovu	t͡ʃ ɔ v u
chowdhury	t͡ʃ ɔ w ð u ɾ j
chowdhury(2)	t͡ʃ ɑ w ɗ h j u ɾ i
choya	t͡ʃ ɔ j ɑ
choyo	t͡ʃ ɔ j ɔ
chozi	t͡ʃ ɔ z i
chris	t͡ʃ ɾ i s
chris(2)	k ɾ i s
chris(4)	t͡ʃ ɾ i s i
chrisant	t͡ʃ ɾ i s ɑ n t
chrisant(4)	t͡ʃ ɾ i s ɑ n t i
chrischurch	t͡ʃ ɾ i s t͡ʃ u ɾ t͡ʃ
chrispin	t͡ʃ ɾ i s p i n
chrispin(4)	t͡ʃ ɾ i s p i n i
chrispine	t͡ʃ ɾ i s p i n ɛ
chriss	t͡ʃ ɾ i s s
chriss(2)	k ɾ i s
chriss(4)	t͡ʃ ɾ i s s i
christ	t͡ʃ ɾ i s t
christ(2)	k ɾ ɑ j s t
christ(4)	t͡ʃ ɾ i s t i
christa	t͡ʃ ɾ i s t ɑ
christa(2)	k ɾ i s t ɛ
christant	t͡ʃ ɾ i s t ɑ n t
christant(4)	t͡ʃ ɾ i s t ɑ n t i
christiaanse	t͡ʃ ɾ i s t i ɑ ɑ n s ɛ
christian	t͡ʃ ɾ i s t i ɑ n
christian(2)	k ɾ i s t͡ʃ ɛ n
christian(4)	t͡ʃ ɾ i s t i ɑ n i
christie	t͡ʃ ɾ i s t i ɛ
christie(2)	k ɾ i s t i
christina	t͡ʃ ɾ i s t i n ɑ
christina(2)	k ɾ i s t i n ɛ
christine	t͡ʃ ɾ i s t i n ɛ
christine(2)	k ɾ i s t i n
christmas	t͡ʃ ɾ i s t m ɑ s
christmas(2)	k ɾ i s m ɛ s
christmas(4)	t͡ʃ ɾ i s t m ɑ s i
christophe	t͡ʃ ɾ i s t ɔ f ɛ
christophe(2)	k ɾ i s t ɾ ɔ f
christopher	t͡ʃ ɾ i s t ɔ f ɛ ɾ
christopher(2)	k ɾ i s t ɛ f ɛ ɾ
christopher(4)	t͡ʃ ɾ i s t ɔ f ɛ ɾ i
chronomita	t͡ʃ ɾ ɔ n ɔ m i t ɑ
chu	t͡ʃ u
chu(2)	t͡ʃ u
chuchu	t͡ʃ u t͡ʃ u
chudu	t͡ʃ u ɗ u
chuene	t͡ʃ u ɛ n ɛ
chui	t͡ʃ u i
chui(2)	k u i
chuja	t͡ʃ u ʄ ɑ
chuji	t͡ʃ u ʄ i
chujio	t͡ʃ u ʄ i ɔ
chuki	t͡ʃ u k i
chukizo	t͡ʃ u k i z ɔ
chuku	t͡ʃ u k u
chukua	t͡ʃ u k u ɑ
chukueni	t͡ʃ u k u ɛ n i
chukulia	t͡ʃ u k u l i ɑ
chukwani	t͡ʃ u k w ɑ n i
chuma	t͡ʃ u m ɑ
chumba	t͡ʃ u ᵐɓ ɑ
chumbageni	t͡ʃ u ᵐɓ ɑ ɠ ɛ n i
chumbani	t͡ʃ u ᵐɓ ɑ n i
chumbuni	t͡ʃ u ᵐɓ u n i
chumi	t͡ʃ u m i
chumila	t͡ʃ u m i l ɑ
chumo	t͡ʃ u m ɔ
chumvi	t͡ʃ u ᶬv i
chumvichumvi	t͡ʃ u ᶬv i t͡ʃ u ᶬv i
chunga	t͡ʃ u ᵑg ɑ
chungu	t͡ʃ u ᵑg u
chunguza	t͡ʃ u ᵑg u z ɑ
chungwa	t͡ʃ u ᵑg w ɑ
chunkwariri	t͡ʃ u n k w ɑ ɾ i ɾ i
chunusi	t͡ʃ u n u s i
chunya	t͡ʃ u n j ɑ
chuo	t͡ʃ u ɔ
chuoni	t͡ʃ u ɔ n i
chupa	t͡ʃ u p ɑ
chupi	t͡ʃ u p i
chupuchupu	t͡ʃ u p u t͡ʃ u p u
chura	t͡ʃ u ɾ ɑ
chura(2)	t͡ʃ u ɾ ɛ
church	t͡ʃ u ɾ t͡ʃ
church(2)	t͡ʃ ɛ ɾ t͡ʃ
church(4)	t͡ʃ u ɾ t͡ʃ i
churches	t͡ʃ u ɾ t͡ʃ ɛ s
churches(2)	t͡ʃ ɛ ɾ t͡ʃ ɛ z
churches(4)	t͡ʃ u ɾ t͡ʃ ɛ s i
churchhill	t͡ʃ u ɾ t͡ʃ h i l l
churchill	t͡ʃ u ɾ t͡ʃ i l l
churchill(2)	t͡ʃ ɛ ɾ t͡ʃ i l
churchill(4)	t͡ʃ u ɾ t͡ʃ i l l i
chusi	t͡ʃ u s i
chutcu	t͡ʃ u t k u
chuwa	t͡ʃ u w ɑ
chuya	t͡ʃ u j ɑ
chuzi	t͡ʃ u z i
chwaka	t͡ʃ w ɑ k ɑ
cia	k i ɑ
cia(2)	s i ɑ j ɛ j
ciao	k i ɑ ɔ
ciao(2)	t͡ʃ ɑ w
cid	k i ɗ
cid(2)	s i ɗ
cid(4)	k i ɗ i
cinderela	k i ⁿɗ ɛ ɾ ɛ l ɑ
cinderella	k i ⁿɗ ɛ ɾ ɛ l l ɑ
cinderella(2)	s i n ɗ ɛ ɾ ɛ l ɛ
cindy	k i ⁿɗ j
cindy(2)	s i n ɗ i
cine	k i n ɛ
cinema	k i n ɛ m ɑ
cinema(2)	s i n ɛ m ɛ
cio	k i ɔ
circovic	k i ɾ k ɔ v i k
circovic(4)	k i ɾ k ɔ v i k i
circuit	k i ɾ k u i t
circuit(2)	s ɛ ɾ k ɛ t
circuit(4)	k i ɾ k u i t i
cirkovic	k i ɾ k ɔ v i k
cirkovic(4)	k i ɾ k ɔ v i k i
cis	k i s
cis(4)	k i s i
cisco	k i s k ɔ
cisco(2)	s i s k ɔ
cisse	k i s s ɛ
cit	k i t
cit(4)	k i t i
cites	k i t ɛ s
cites(2)	s ɑ j t s
cites(4)	k i t ɛ s i
citi	k i t i
citi(2)	s i t i
cities	k i t i ɛ s
cities(2)	s i t i z
cities(4)	k i t i ɛ s i
citizen	k i t i z ɛ n
citizen(2)	s i t ɛ z ɛ n
citizen(4)	k i t i z ɛ n i
citizens	k i t i z ɛ n s
citizens(2)	s i t ɛ z ɛ n z
citizens(4)	k i t i z ɛ n s i
city	k i t j
city(2)	s i t i
city(3)	s i ɑ j t i w ɑ j
ciup	k i u p
ciup(4)	k i u p u
civic	k i v i k
civic(2)	s i v i k
civic(4)	k i v i k i
civicus	k i v i k u s
civicus(4)	k i v i k u s i
civil	k i v i l
civil(2)	s i v ɛ l
civil(4)	k i v i l i
ck	k
ck(3)	s i k ɛ
ck(4)	k i
claire	k l ɑ i ɾ ɛ
claire(2)	k l ɛ ɾ
clanq	k l ɑ n k
clara	k l ɑ ɾ ɑ
clara(2)	k l ɑ ɾ ɛ
clare	k l ɑ ɾ ɛ
clare(2)	k l ɛ ɾ
clarence	k l ɑ ɾ ɛ n k ɛ
clarence(2)	k l ɛ ɾ ɛ n s
clark	k l ɑ ɾ k
clark(2)	k l ɑ ɾ k
clark(4)	k l ɑ ɾ k i
clarke	k l ɑ ɾ k ɛ
clarke(2)	k l ɑ ɾ k
class	k l ɑ s s
class(2)	k l ɑ s
class(4)	k l ɑ s s i
classic	k l ɑ s s i k
classic(2)	k l ɑ s i k
classic(4)	k l ɑ s s i k i
claud	k l ɑ u ɗ
claud(2)	k l ɔ ɗ
claud(4)	k l ɑ u ɗ i
claude	k l ɑ u ɗ ɛ
claude(2)	k l ɔ ɗ
claudia	k l ɑ u ɗ i ɑ
claudia(2)	k l ɔ ɗ i ɛ
claudio	k l ɑ u ɗ i ɔ
claudio(2)	k l ɔ ɗ i ɔ
claus	k l ɑ u s
claus(2)	k l ɔ z
claus(4)	k l ɑ u s i
clause	k l ɑ u s ɛ
clay	k l ɑ j
clay(2)	k l ɛ j
clay(3)	s i ɛ l ɛ w ɑ j
clayton	k l ɑ j t ɔ n
clayton(2)	k l ɛ j t ɛ n
clayton(4)	k l ɑ j t ɔ n i
clean	k l ɛ ɑ n
clean(2)	k l i n
clean(4)	k l ɛ ɑ n i
clegg	k l ɛ ɠ ɠ
clegg(2)	k l ɛ ɠ
clegg(4)	k l ɛ ɠ ɠ i
clemence	k l ɛ m ɛ n k ɛ
clemence(2)	k l ɛ m ɛ n s
clemens	k l ɛ m ɛ n s
clemens(2)	k l ɛ m ɛ n z
clemens(4)	k l ɛ m ɛ n s i
clement	k l ɛ m ɛ n t
clement(2)	k l ɛ m ɛ n t
clement(4)	k l ɛ m ɛ n t i
clementina	k l ɛ m ɛ n t i n ɑ
cleopa	k l ɛ ɔ p ɑ
cleopatra	k l ɛ ɔ p ɑ t ɾ ɑ
cleopatra(2)	k l i ɛ p ɑ t ɾ ɛ
cleophace	k l ɛ ɔ f ɑ k ɛ
cleophas	k l ɛ ɔ f ɑ s
cleophas(4)	k l ɛ ɔ f ɑ s i
cleveland	k l ɛ v ɛ l ɑ ⁿɗ
cleveland(2)	k l i v l ɛ n ɗ
cleveland(4)	k l ɛ v ɛ l ɑ ⁿɗ i
clever	k l ɛ v ɛ ɾ
clever(2)	k l ɛ v ɛ ɾ
clever(4)	k l ɛ v ɛ ɾ i
cleya	k l ɛ j ɑ
clichy	k l i t͡ʃ j
cliff	k l i f f
cliff(2)	k l i f
cliff(4)	k l i f f u
clifford	k l i f f ɔ ɾ ɗ
clifford(2)	k l i f ɛ ɾ ɗ
clifford(4)	k l i f f ɔ ɾ ɗ i
cliford	k l i f ɔ ɾ ɗ
cliford(4)	k l i f ɔ ɾ ɗ i
climate	k l i m ɑ t ɛ
climate(2)	k l ɑ j m ɛ t
clinic	k l i n i k
clinic(2)	k l i n i k
clinic(4)	k l i n i k i
clint	k l i n t
clint(2)	k l i n t
clint(4)	k l i n t i
clinton	k l i n t ɔ n
clinton(2)	k l i n t ɛ n
clinton(4)	k l i n t ɔ n i
clive	k l i v ɛ
clive(2)	k l ɑ j v
cliveren	k l i v ɛ ɾ ɛ n
clizad	k l i z ɑ ɗ
clock	k l ɔ k
clock(2)	k l ɑ k
clock(4)	k l ɔ k i
clodwig	k l ɔ ɗ w i ɠ
clodwig(4)	k l ɔ ɗ w i ɠ i
close	k l ɔ s
cloud	k l ɔ u ɗ
cloud(2)	k l ɑ w ɗ
cloud(4)	k l ɔ u ɗ i
clouds	k l ɔ u ɗ s
clouds(2)	k l ɑ w ɗ z
clouds(4)	k l ɔ u ɗ s i
club	k l u ɓ
club(2)	k l ɛ ɓ
club(3)	s i ɛ l j u ɓ i
club(4)	k l u ɓ u
clubs	k l u ɓ s
clubs(2)	k l ɛ ɓ z
clubs(4)	k l u ɓ s i
cm	k m
cm(3)	s i ɛ m
cm(4)	k m u
cmag	k m ɑ ɠ
cmag(3)	s i ɛ m ɛ ʄ i
cmag(4)	k m ɑ ɠ i
cmc	k m k
cmc(3)	s i ɛ m s i
cmc(4)	k m k i
cmsa	k m s ɑ
cmsa(3)	s i ɛ m ɛ s ɛ
cmtu	k m t u
cmtu(3)	s i ɛ m t i j u
cndd	k ⁿɗ ɗ
cndd(3)	s i ɛ n ɗ i ɗ i
cndd(4)	k ⁿɗ ɗ i
cndp	k ⁿɗ p
cndp(3)	s i ɛ n ɗ i p i
cndp(4)	k ⁿɗ p u
cnn	k n n
cnn(2)	s i ɛ n ɛ n
cnn(3)	s i ɛ n ɛ n
cnn(4)	k n n i
co	k ɔ
co(2)	k ɔ
coach	k ɔ ɑ t͡ʃ
coach(2)	k ɔ t͡ʃ
coach(4)	k ɔ ɑ t͡ʃ i
coal	k ɔ ɑ l
coal(2)	k ɔ l
coal(4)	k ɔ ɑ l i
coalition	k ɔ ɑ l i t i ɔ n
coalition(2)	k ɔ ɛ l i ʃ ɛ n
coalition(4)	k ɔ ɑ l i t i ɔ n i
coast	k ɔ ɑ s t
coast(2)	k ɔ s t
coast(4)	k ɔ ɑ s t i
coastal	k ɔ ɑ s t ɑ l
coastal(2)	k ɔ s t ɛ l
coastal(4)	k ɔ ɑ s t ɑ l i
coaster	k ɔ ɑ s t ɛ ɾ
coaster(2)	k ɔ s t ɛ ɾ
coaster(4)	k ɔ ɑ s t ɛ ɾ i
cobalt	k ɔ ɓ ɑ l t
cobalt(2)	k ɔ ɓ ɔ l t
cobalt(4)	k ɔ ɓ ɑ l t i
cobra	k ɔ ɓ ɾ ɑ
cobra(2)	k ɔ ɓ ɾ ɛ
coca	k ɔ k ɑ
coca(2)	k ɔ k ɛ
cocacola	k ɔ k ɑ k ɔ l ɑ
cocaine	k ɔ k ɑ i n ɛ
cocaine(2)	k ɔ k ɛ j n
cockasis	k ɔ k k ɑ s i s
cocktail	k ɔ k t ɑ i l
cocktail(2)	k ɑ k t ɛ j l
cocktail(4)	k ɔ k t ɑ i l i
coco	k ɔ k ɔ
coco(2)	k ɔ k ɔ
cocoa	k ɔ k ɔ ɑ
cocoa(2)	k ɔ k ɔ
cocody	k ɔ k ɔ ɗ j
code	k ɔ ɗ ɛ
code(2)	k ɔ ɗ
coe	k ɔ ɛ
coe(2)	k ɔ
coffee	k ɔ f f ɛ ɛ
coffee(2)	k ɑ f i
cohen	k ɔ h ɛ n
cohen(2)	k ɔ ɛ n
cohen(4)	k ɔ h ɛ n i
coke	k ɔ k ɛ
coke(2)	k ɔ k
cola	k ɔ l ɑ
cola(2)	k ɔ l ɛ
cold	k ɔ l ɗ
cold(2)	k ɔ l ɗ
cold(3)	s i ɔ ɛ l ɗ i
cold(4)	k ɔ l ɗ i
cole	k ɔ l ɛ
cole(2)	k ɔ l
coleman	k ɔ l ɛ m ɑ n
coleman(2)	k ɔ l m ɛ n
coleman(4)	k ɔ l ɛ m ɑ n i
colgan	k ɔ l ɠ ɑ n
colgan(2)	k ɔ l ɠ ɛ n
colgan(4)	k ɔ l ɠ ɑ n i
colin	k ɔ l i n
colin(2)	k ɔ l i n
colin(4)	k ɔ l i n i
collabo	k ɔ l l ɑ ɓ ɔ
collection	k ɔ l l ɛ k t i ɔ n
collection(2)	k ɛ l ɛ k ʃ ɛ n
collection(4)	k ɔ l l ɛ k t i ɔ n i
college	k ɔ l l ɛ ɠ ɛ
college(2)	k ɑ l i ʄ
collins	k ɔ l l i n s
collins(2)	k ɑ l i n z
collins(4)	k ɔ l l i n s i
cologne	k ɔ l ɔ ɠ n ɛ
cologne(2)	k ɛ l ɔ n
colombia	k ɔ l ɔ ᵐɓ i ɑ
colombia(2)	k ɛ l ɛ m ɓ i ɛ
colon	k ɔ l ɔ n
colonerio	k ɔ l ɔ n ɛ ɾ i ɔ
colonia	k ɔ l ɔ n i ɑ
colonia(2)	k ɛ l ɔ n i ɛ
colorado	k ɔ l ɔ ɾ ɑ ɗ ɔ
colorado(2)	k ɑ l ɛ ɾ ɑ ɗ ɔ
colour	k ɔ l ɔ u ɾ
colour(4)	k ɔ l ɔ u ɾ i
coltan	k ɔ l t ɑ n
coltan(4)	k ɔ l t ɑ n i
columbia	k ɔ l u ᵐɓ i ɑ
columbia(2)	k ɛ l ɛ m ɓ i ɛ
columbus	k ɔ l u ᵐɓ u s
columbus(2)	k ɛ l ɛ m ɓ ɛ s
columbus(4)	k ɔ l u ᵐɓ u s i
com	k ɔ m
com(2)	k ɑ m
com(4)	k ɔ m u
coma	k ɔ m ɑ
coma(2)	k ɔ m ɛ
combi	k ɔ ᵐɓ i
combination	k ɔ ᵐɓ i n ɑ t i ɔ n
combination(2)	k ɑ m ɓ ɛ n ɛ j ʃ ɛ n
combination(4)	k ɔ ᵐɓ i n ɑ t i ɔ n i
come	k ɔ m ɛ
come(2)	k ɛ m
comedy	k ɔ m ɛ ɗ j
comedy(2)	k ɑ m ɛ ɗ i
comesa	k ɔ m ɛ s ɑ
comfort	k ɔ m f ɔ ɾ t
comfort(2)	k ɛ m f ɛ ɾ t
comfort(4)	k ɔ m f ɔ ɾ t i
coming	k ɔ m i ᵑg
coming(2)	k ɛ m i ᵑg
coming(4)	k ɔ m i ᵑg i
comment	k ɔ m m ɛ n t
comment(2)	k ɑ m ɛ n t
comment(4)	k ɔ m m ɛ n t i
commerce	k ɔ m m ɛ ɾ k ɛ
commerce(2)	k ɑ m ɛ ɾ s
commercial	k ɔ m m ɛ ɾ k i ɑ l
commercial(2)	k ɛ m ɛ ɾ ʃ ɛ l
commercial(4)	k ɔ m m ɛ ɾ k i ɑ l i
commission	k ɔ m m i s s i ɔ n
commission(2)	k ɛ m i ʃ ɛ n
commission(4)	k ɔ m m i s s i ɔ n i
committee	k ɔ m m i t t ɛ ɛ
committee(2)	k ɛ m i t i
commodity	k ɔ m m ɔ ɗ i t j
commodity(2)	k ɛ m ɑ ɗ ɛ t i
common	k ɔ m m ɔ n
common(2)	k ɑ m ɛ n
common(4)	k ɔ m m ɔ n i
commonwealth	k ɔ m m ɔ n w ɛ ɑ l θ
commonwealth(2)	k ɑ m ɛ n w ɛ l θ
commonwealth(4)	k ɔ m m ɔ n w ɛ ɑ l θ i
commoro	k ɔ m m ɔ ɾ ɔ
communication	k ɔ m m u n i k ɑ t i ɔ n
communication(2)	k ɛ m j u n ɛ k ɛ j ʃ ɛ n
communication(4)	k ɔ m m u n i k ɑ t i ɔ n i
communications	k ɔ m m u n i k ɑ t i ɔ n s
communications(2)	k ɛ m j u n ɛ k ɛ j ʃ ɛ n z
communications(4)	k ɔ m m u n i k ɑ t i ɔ n s i
communist	k ɔ m m u n i s t
communist(2)	k ɑ m j ɛ n ɛ s t
communist(4)	k ɔ m m u n i s t i
communities	k ɔ m m u n i t i ɛ s
communities(2)	k ɛ m j u n ɛ t i z
communities(4)	k ɔ m m u n i t i ɛ s i
community	k ɔ m m u n i t j
community(2)	k ɛ m j u n ɛ t i
comoro	k ɔ m ɔ ɾ ɔ
comoros	k ɔ m ɔ ɾ ɔ s
comoros(2)	k ɛ m ɔ ɾ ɔ s
comoros(4)	k ɔ m ɔ ɾ ɔ s i
company	k ɔ m p ɑ n j
company(2)	k ɛ m p ɛ n i
compaore	k ɔ m p ɑ ɔ ɾ ɛ
compaore(2)	k ɑ m p ɛ ɔ ɾ i
compass	k ɔ m p ɑ s s
compass(2)	k ɛ m p ɛ s
compass(4)	k ɔ m p ɑ s s i
compassion	k ɔ m p ɑ s s i ɔ n
compassion(2)	k ɛ m p ɑ ʃ ɛ n
compassion(4)	k ɔ m p ɑ s s i ɔ n i
competition	k ɔ m p ɛ t i t i ɔ n
competition(2)	k ɑ m p ɛ t i ʃ ɛ n
competition(4)	k ɔ m p ɛ t i t i ɔ n i
complex	k ɔ m p l ɛ k s
complex(2)	k ɑ m p l ɛ k s
complex(4)	k ɔ m p l ɛ k s i
comprehensive	k ɔ m p ɾ ɛ h ɛ n s i v ɛ
comprehensive(2)	k ɑ m p ɾ i h ɛ n s i v
computer	k ɔ m p u t ɛ ɾ
computer(2)	k ɛ m p j u t ɛ ɾ
computer(4)	k ɔ m p u t ɛ ɾ i
comrade	k ɔ m ɾ ɑ ɗ ɛ
comrade(2)	k ɑ m ɾ ɑ ɗ
conakry	k ɔ n ɑ k ɾ j
concern	k ɔ n k ɛ ɾ n
concern(2)	k ɛ n s ɛ ɾ n
concern(4)	k ɔ n k ɛ ɾ n i
concord	k ɔ n k ɔ ɾ ɗ
concord(2)	k ɑ n k ɔ ɾ ɗ
concord(4)	k ɔ n k ɔ ɾ ɗ i
conde	k ɔ ⁿɗ ɛ
conde(2)	k ɑ n ɗ
condoleezza	k ɔ ⁿɗ ɔ l ɛ ɛ z z ɑ
conference	k ɔ n f ɛ ɾ ɛ n k ɛ
conference(2)	k ɑ n f ɛ ɾ ɛ n s
confidential	k ɔ n f i ɗ ɛ n t i ɑ l
confidential(2)	k ɑ n f ɛ ɗ ɛ n ʃ ɛ l
confidential(4)	k ɔ n f i ɗ ɛ n t i ɑ l i
conflict	k ɔ n f l i k t
conflict(2)	k ɑ n f l i k t
conflict(4)	k ɔ n f l i k t i
congo	k ɔ ᵑg ɔ
congo(2)	k ɑ ᵑg ɠ ɔ
congolese	k ɔ ᵑg ɔ l ɛ s ɛ
congolese(2)	k ɑ n ɠ ɛ l i z
congress	k ɔ ᵑg ɾ ɛ s s
congress(2)	k ɑ ᵑg ɠ ɾ ɛ s
congress(4)	k ɔ ᵑg ɾ ɛ s s i
connect	k ɔ n n ɛ k t
connect(2)	k ɛ n ɛ k t
connect(4)	k ɔ n n ɛ k t i
connecticut	k ɔ n n ɛ k t i k u t
connecticut(2)	k ɛ n ɛ t ɛ k ɛ t
connecticut(4)	k ɔ n n ɛ k t i k u t i
connection	k ɔ n n ɛ k t i ɔ n
connection(2)	k ɛ n ɛ k ʃ ɛ n
connection(4)	k ɔ n n ɛ k t i ɔ n i
connections	k ɔ n n ɛ k t i ɔ n s
connections(2)	k ɛ n ɛ k ʃ ɛ n z
connections(4)	k ɔ n n ɛ k t i ɔ n s i
connie	k ɔ n n i ɛ
connie(2)	k ɔ n i
conrad	k ɔ n ɾ ɑ ɗ
conrad(2)	k ɑ n ɾ ɑ ɗ
conrad(4)	k ɔ n ɾ ɑ ɗ i
conservation	k ɔ n s ɛ ɾ v ɑ t i ɔ n
conservation(2)	k ɑ n s ɛ ɾ v ɛ j ʃ ɛ n
conservation(4)	k ɔ n s ɛ ɾ v ɑ t i ɔ n i
conservative	k ɔ n s ɛ ɾ v ɑ t i v ɛ
conservative(2)	k ɛ n s ɛ ɾ v ɛ t i v
conservatives	k ɔ n s ɛ ɾ v ɑ t i v ɛ s
conservatives(2)	k ɛ n s ɛ ɾ v ɛ t i v z
conservatives(4)	k ɔ n s ɛ ɾ v ɑ t i v ɛ s i
consolata	k ɔ n s ɔ l ɑ t ɑ
consolata(2)	k ɑ n s ɔ l ɑ t ɛ
consolatha	k ɔ n s ɔ l ɑ θ ɑ
consolidated	k ɔ n s ɔ l i ɗ ɑ t ɛ ɗ
consolidated(2)	k ɛ n s ɑ l ɛ ɗ ɛ j t ɛ ɗ
consolidated(4)	k ɔ n s ɔ l i ɗ ɑ t ɛ ɗ i
consortium	k ɔ n s ɔ ɾ t i u m
consortium(2)	k ɛ n s ɔ ɾ ʃ i ɛ m
consortium(4)	k ɔ n s ɔ ɾ t i u m u
constance	k ɔ n s t ɑ n k ɛ
